# CJK Unified Ideographs Extension C 2A700 - 2B73F
2A700	cjkunifiedideograph2a700	CJK UNIFIED IDEOGRAPH-2A700
2A701	cjkunifiedideograph2a701	CJK UNIFIED IDEOGRAPH-2A701
2A702	cjkunifiedideograph2a702	CJK UNIFIED IDEOGRAPH-2A702
2A703	cjkunifiedideograph2a703	CJK UNIFIED IDEOGRAPH-2A703
2A704	cjkunifiedideograph2a704	CJK UNIFIED IDEOGRAPH-2A704
2A705	cjkunifiedideograph2a705	CJK UNIFIED IDEOGRAPH-2A705
2A706	cjkunifiedideograph2a706	CJK UNIFIED IDEOGRAPH-2A706
2A707	cjkunifiedideograph2a707	CJK UNIFIED IDEOGRAPH-2A707
2A708	cjkunifiedideograph2a708	CJK UNIFIED IDEOGRAPH-2A708
2A709	cjkunifiedideograph2a709	CJK UNIFIED IDEOGRAPH-2A709
2A70A	cjkunifiedideograph2a70a	CJK UNIFIED IDEOGRAPH-2A70A
2A70B	cjkunifiedideograph2a70b	CJK UNIFIED IDEOGRAPH-2A70B
2A70C	cjkunifiedideograph2a70c	CJK UNIFIED IDEOGRAPH-2A70C
2A70D	cjkunifiedideograph2a70d	CJK UNIFIED IDEOGRAPH-2A70D
2A70E	cjkunifiedideograph2a70e	CJK UNIFIED IDEOGRAPH-2A70E
2A70F	cjkunifiedideograph2a70f	CJK UNIFIED IDEOGRAPH-2A70F
2A710	cjkunifiedideograph2a710	CJK UNIFIED IDEOGRAPH-2A710
2A711	cjkunifiedideograph2a711	CJK UNIFIED IDEOGRAPH-2A711
2A712	cjkunifiedideograph2a712	CJK UNIFIED IDEOGRAPH-2A712
2A713	cjkunifiedideograph2a713	CJK UNIFIED IDEOGRAPH-2A713
2A714	cjkunifiedideograph2a714	CJK UNIFIED IDEOGRAPH-2A714
2A715	cjkunifiedideograph2a715	CJK UNIFIED IDEOGRAPH-2A715
2A716	cjkunifiedideograph2a716	CJK UNIFIED IDEOGRAPH-2A716
2A717	cjkunifiedideograph2a717	CJK UNIFIED IDEOGRAPH-2A717
2A718	cjkunifiedideograph2a718	CJK UNIFIED IDEOGRAPH-2A718
2A719	cjkunifiedideograph2a719	CJK UNIFIED IDEOGRAPH-2A719
2A71A	cjkunifiedideograph2a71a	CJK UNIFIED IDEOGRAPH-2A71A
2A71B	cjkunifiedideograph2a71b	CJK UNIFIED IDEOGRAPH-2A71B
2A71C	cjkunifiedideograph2a71c	CJK UNIFIED IDEOGRAPH-2A71C
2A71D	cjkunifiedideograph2a71d	CJK UNIFIED IDEOGRAPH-2A71D
2A71E	cjkunifiedideograph2a71e	CJK UNIFIED IDEOGRAPH-2A71E
2A71F	cjkunifiedideograph2a71f	CJK UNIFIED IDEOGRAPH-2A71F
2A720	cjkunifiedideograph2a720	CJK UNIFIED IDEOGRAPH-2A720
2A721	cjkunifiedideograph2a721	CJK UNIFIED IDEOGRAPH-2A721
2A722	cjkunifiedideograph2a722	CJK UNIFIED IDEOGRAPH-2A722
2A723	cjkunifiedideograph2a723	CJK UNIFIED IDEOGRAPH-2A723
2A724	cjkunifiedideograph2a724	CJK UNIFIED IDEOGRAPH-2A724
2A725	cjkunifiedideograph2a725	CJK UNIFIED IDEOGRAPH-2A725
2A726	cjkunifiedideograph2a726	CJK UNIFIED IDEOGRAPH-2A726
2A727	cjkunifiedideograph2a727	CJK UNIFIED IDEOGRAPH-2A727
2A728	cjkunifiedideograph2a728	CJK UNIFIED IDEOGRAPH-2A728
2A729	cjkunifiedideograph2a729	CJK UNIFIED IDEOGRAPH-2A729
2A72A	cjkunifiedideograph2a72a	CJK UNIFIED IDEOGRAPH-2A72A
2A72B	cjkunifiedideograph2a72b	CJK UNIFIED IDEOGRAPH-2A72B
2A72C	cjkunifiedideograph2a72c	CJK UNIFIED IDEOGRAPH-2A72C
2A72D	cjkunifiedideograph2a72d	CJK UNIFIED IDEOGRAPH-2A72D
2A72E	cjkunifiedideograph2a72e	CJK UNIFIED IDEOGRAPH-2A72E
2A72F	cjkunifiedideograph2a72f	CJK UNIFIED IDEOGRAPH-2A72F
2A730	cjkunifiedideograph2a730	CJK UNIFIED IDEOGRAPH-2A730
2A731	cjkunifiedideograph2a731	CJK UNIFIED IDEOGRAPH-2A731
2A732	cjkunifiedideograph2a732	CJK UNIFIED IDEOGRAPH-2A732
2A733	cjkunifiedideograph2a733	CJK UNIFIED IDEOGRAPH-2A733
2A734	cjkunifiedideograph2a734	CJK UNIFIED IDEOGRAPH-2A734
2A735	cjkunifiedideograph2a735	CJK UNIFIED IDEOGRAPH-2A735
2A736	cjkunifiedideograph2a736	CJK UNIFIED IDEOGRAPH-2A736
2A737	cjkunifiedideograph2a737	CJK UNIFIED IDEOGRAPH-2A737
2A738	cjkunifiedideograph2a738	CJK UNIFIED IDEOGRAPH-2A738
2A739	cjkunifiedideograph2a739	CJK UNIFIED IDEOGRAPH-2A739
2A73A	cjkunifiedideograph2a73a	CJK UNIFIED IDEOGRAPH-2A73A
2A73B	cjkunifiedideograph2a73b	CJK UNIFIED IDEOGRAPH-2A73B
2A73C	cjkunifiedideograph2a73c	CJK UNIFIED IDEOGRAPH-2A73C
2A73D	cjkunifiedideograph2a73d	CJK UNIFIED IDEOGRAPH-2A73D
2A73E	cjkunifiedideograph2a73e	CJK UNIFIED IDEOGRAPH-2A73E
2A73F	cjkunifiedideograph2a73f	CJK UNIFIED IDEOGRAPH-2A73F
2A740	cjkunifiedideograph2a740	CJK UNIFIED IDEOGRAPH-2A740
2A741	cjkunifiedideograph2a741	CJK UNIFIED IDEOGRAPH-2A741
2A742	cjkunifiedideograph2a742	CJK UNIFIED IDEOGRAPH-2A742
2A743	cjkunifiedideograph2a743	CJK UNIFIED IDEOGRAPH-2A743
2A744	cjkunifiedideograph2a744	CJK UNIFIED IDEOGRAPH-2A744
2A745	cjkunifiedideograph2a745	CJK UNIFIED IDEOGRAPH-2A745
2A746	cjkunifiedideograph2a746	CJK UNIFIED IDEOGRAPH-2A746
2A747	cjkunifiedideograph2a747	CJK UNIFIED IDEOGRAPH-2A747
2A748	cjkunifiedideograph2a748	CJK UNIFIED IDEOGRAPH-2A748
2A749	cjkunifiedideograph2a749	CJK UNIFIED IDEOGRAPH-2A749
2A74A	cjkunifiedideograph2a74a	CJK UNIFIED IDEOGRAPH-2A74A
2A74B	cjkunifiedideograph2a74b	CJK UNIFIED IDEOGRAPH-2A74B
2A74C	cjkunifiedideograph2a74c	CJK UNIFIED IDEOGRAPH-2A74C
2A74D	cjkunifiedideograph2a74d	CJK UNIFIED IDEOGRAPH-2A74D
2A74E	cjkunifiedideograph2a74e	CJK UNIFIED IDEOGRAPH-2A74E
2A74F	cjkunifiedideograph2a74f	CJK UNIFIED IDEOGRAPH-2A74F
2A750	cjkunifiedideograph2a750	CJK UNIFIED IDEOGRAPH-2A750
2A751	cjkunifiedideograph2a751	CJK UNIFIED IDEOGRAPH-2A751
2A752	cjkunifiedideograph2a752	CJK UNIFIED IDEOGRAPH-2A752
2A753	cjkunifiedideograph2a753	CJK UNIFIED IDEOGRAPH-2A753
2A754	cjkunifiedideograph2a754	CJK UNIFIED IDEOGRAPH-2A754
2A755	cjkunifiedideograph2a755	CJK UNIFIED IDEOGRAPH-2A755
