# Combining Diacritical Marks Supplement 1DC0 - 1DFF
1DC0	dottedaccentgravecmb	COMBINING DOTTED GRAVE ACCENT
1DC1	dottedaccentacutecmb	COMBINING DOTTED ACUTE ACCENT
1DC2	snakebelowcmb	COMBINING SNAKE BELOW
1DC3	suspensionmarkcmb	COMBINING SUSPENSION MARK
1DC4	macronacutecmb	COMBINING MACRON-ACUTE
1DC5	gravemacroncmb	COMBINING GRAVE-MACRON
1DC6	macrongravecmb	COMBINING MACRON-GRAVE
1DC7	acutemacroncmb	COMBINING ACUTE-MACRON
1DC8	graveacutegravecmb	COMBINING GRAVE-ACUTE-GRAVE
1DC9	acutegraveacutecmb	COMBINING ACUTE-GRAVE-ACUTE
1DCA	rbelowcmb	COMBINING LATIN SMALL LETTER R BELOW
1DCB	brevemacroncmb	COMBINING BREVE-MACRON
1DCC	macronbrevecmb	COMBINING MACRON-BREVE
1DCD	doubleabovecircumflexcmb	COMBINING DOUBLE CIRCUMFLEX ABOVE
1DCE	aboveogonekcmb	COMBINING OGONEK ABOVE
1DCF	zigzagbelowcmb	COMBINING ZIGZAG BELOW
1DD0	isbelowcmb	COMBINING IS BELOW
1DD1	urabovecmb	COMBINING UR ABOVE
1DD2	usabovecmb	COMBINING US ABOVE
1DD3	aaboveflatcmb	COMBINING LATIN SMALL LETTER FLATTENED OPEN A ABOVE
1DD4	aecmb	COMBINING LATIN SMALL LETTER AE
1DD5	aocmb	COMBINING LATIN SMALL LETTER AO
1DD6	avcmb	COMBINING LATIN SMALL LETTER AV
1DD7	ccedillacmb	COMBINING LATIN SMALL LETTER C CEDILLA
1DD8	insulardcmb	COMBINING LATIN SMALL LETTER INSULAR D
1DD9	ethcmb	COMBINING LATIN SMALL LETTER ETH
1DDA	gcmb	COMBINING LATIN SMALL LETTER G
1DDB	gsmallcmb	COMBINING LATIN LETTER SMALL CAPITAL G
1DDC	kcmb	COMBINING LATIN SMALL LETTER K
1DDD	lcmb	COMBINING LATIN SMALL LETTER L
1DDE	lsmallcmb	COMBINING LATIN LETTER SMALL CAPITAL L
1DDF	msmallcmb	COMBINING LATIN LETTER SMALL CAPITAL M
1DE0	ncmb	COMBINING LATIN SMALL LETTER N
1DE1	nsmallcmb	COMBINING LATIN LETTER SMALL CAPITAL N
1DE2	rsmallcmb	COMBINING LATIN LETTER SMALL CAPITAL R
1DE3	rrotundacmb	COMBINING LATIN SMALL LETTER R ROTUNDA
1DE4	scmb	COMBINING LATIN SMALL LETTER S
1DE5	longscmb	COMBINING LATIN SMALL LETTER LONG S
1DE6	zcmb	COMBINING LATIN SMALL LETTER Z
1DFD	almostequaltobelowcmb	COMBINING ALMOST EQUAL TO BELOW
1DFE	leftarrowheadabovecmb	COMBINING LEFT ARROWHEAD ABOVE
1DFF	rightarrowheadanddownarrowheadbelowcmb	COMBINING RIGHT ARROWHEAD AND DOWN ARROWHEAD BELOW
