# Coptic 2C80 - 2CFF
2C80	copticcapitalletteralfa	COPTIC CAPITAL LETTER ALFA
2C81	copticsmallletteralfa	COPTIC SMALL LETTER ALFA
2C82	copticcapitallettervida	COPTIC CAPITAL LETTER VIDA
2C83	copticsmalllettervida	COPTIC SMALL LETTER VIDA
2C84	copticcapitallettergamma	COPTIC CAPITAL LETTER GAMMA
2C85	copticsmalllettergamma	COPTIC SMALL LETTER GAMMA
2C86	copticcapitalletterdalda	COPTIC CAPITAL LETTER DALDA
2C87	copticsmallletterdalda	COPTIC SMALL LETTER DALDA
2C88	copticcapitallettereie	COPTIC CAPITAL LETTER EIE
2C89	copticsmalllettereie	COPTIC SMALL LETTER EIE
2C8A	copticcapitallettersou	COPTIC CAPITAL LETTER SOU
2C8B	copticsmalllettersou	COPTIC SMALL LETTER SOU
2C8C	copticcapitalletterzata	COPTIC CAPITAL LETTER ZATA
2C8D	copticsmallletterzata	COPTIC SMALL LETTER ZATA
2C8E	copticcapitalletterhate	COPTIC CAPITAL LETTER HATE
2C8F	copticsmallletterhate	COPTIC SMALL LETTER HATE
2C90	copticcapitalletterthethe	COPTIC CAPITAL LETTER THETHE
2C91	copticsmallletterthethe	COPTIC SMALL LETTER THETHE
2C92	copticcapitalletteriauda	COPTIC CAPITAL LETTER IAUDA
2C93	copticsmallletteriauda	COPTIC SMALL LETTER IAUDA
2C94	copticcapitalletterkapa	COPTIC CAPITAL LETTER KAPA
2C95	copticsmallletterkapa	COPTIC SMALL LETTER KAPA
2C96	copticcapitalletterlaula	COPTIC CAPITAL LETTER LAULA
2C97	copticsmallletterlaula	COPTIC SMALL LETTER LAULA
2C98	copticcapitallettermi	COPTIC CAPITAL LETTER MI
2C99	copticsmalllettermi	COPTIC SMALL LETTER MI
2C9A	copticcapitalletterni	COPTIC CAPITAL LETTER NI
2C9B	copticsmallletterni	COPTIC SMALL LETTER NI
2C9C	copticcapitalletterksi	COPTIC CAPITAL LETTER KSI
2C9D	copticsmallletterksi	COPTIC SMALL LETTER KSI
2C9E	copticcapitallettero	COPTIC CAPITAL LETTER O
2C9F	copticsmalllettero	COPTIC SMALL LETTER O
2CA0	copticcapitalletterpi	COPTIC CAPITAL LETTER PI
2CA1	copticsmallletterpi	COPTIC SMALL LETTER PI
2CA2	copticcapitalletterro	COPTIC CAPITAL LETTER RO
2CA3	copticsmallletterro	COPTIC SMALL LETTER RO
2CA4	copticcapitallettersima	COPTIC CAPITAL LETTER SIMA
2CA5	copticsmalllettersima	COPTIC SMALL LETTER SIMA
