# Cuneiform 12000 - 123FF
12000	cuneiformsigna	CUNEIFORM SIGN A
12001	cuneiformsignatimesa	CUNEIFORM SIGN A TIMES A
12002	cuneiformsignatimesbad	CUNEIFORM SIGN A TIMES BAD
12003	cuneiformsignatimesgan2tenu	CUNEIFORM SIGN A TIMES GAN2 TENU
12004	cuneiformsignatimesha	CUNEIFORM SIGN A TIMES HA
12005	cuneiformsignatimesigi	CUNEIFORM SIGN A TIMES IGI
12006	cuneiformsignatimeslagargunu	CUNEIFORM SIGN A TIMES LAGAR GUNU
12007	cuneiformsignatimesmush	CUNEIFORM SIGN A TIMES MUSH
12008	cuneiformsignatimessag	CUNEIFORM SIGN A TIMES SAG
12009	cuneiformsigna2	CUNEIFORM SIGN A2
1200A	cuneiformsignab	CUNEIFORM SIGN AB
1200B	cuneiformsignabtimesash2	CUNEIFORM SIGN AB TIMES ASH2
1200C	cuneiformsignabtimesdun3gunu	CUNEIFORM SIGN AB TIMES DUN3 GUNU
1200D	cuneiformsignabtimesgal	CUNEIFORM SIGN AB TIMES GAL
1200E	cuneiformsignabtimesgan2tenu	CUNEIFORM SIGN AB TIMES GAN2 TENU
1200F	cuneiformsignabtimesha	CUNEIFORM SIGN AB TIMES HA
12010	cuneiformsignabtimesigigunu	CUNEIFORM SIGN AB TIMES IGI GUNU
12011	cuneiformsignabtimesimin	CUNEIFORM SIGN AB TIMES IMIN
12012	cuneiformsignabtimeslagab	CUNEIFORM SIGN AB TIMES LAGAB
12013	cuneiformsignabtimesshesh	CUNEIFORM SIGN AB TIMES SHESH
12014	cuneiformsignabtimesuplusuplusu	CUNEIFORM SIGN AB TIMES U PLUS U PLUS U
12015	cuneiformsignabgunu	CUNEIFORM SIGN AB GUNU
12016	cuneiformsignab2	CUNEIFORM SIGN AB2
12017	cuneiformsignab2timesbalag	CUNEIFORM SIGN AB2 TIMES BALAG
12018	cuneiformsignab2timesgan2tenu	CUNEIFORM SIGN AB2 TIMES GAN2 TENU
12019	cuneiformsignab2timesmeplusen	CUNEIFORM SIGN AB2 TIMES ME PLUS EN
1201A	cuneiformsignab2timessha3	CUNEIFORM SIGN AB2 TIMES SHA3
1201B	cuneiformsignab2timestak4	CUNEIFORM SIGN AB2 TIMES TAK4
1201C	cuneiformsignad	CUNEIFORM SIGN AD
1201D	cuneiformsignak	CUNEIFORM SIGN AK
1201E	cuneiformsignaktimeserin2	CUNEIFORM SIGN AK TIMES ERIN2
1201F	cuneiformsignaktimesshitaplusgish	CUNEIFORM SIGN AK TIMES SHITA PLUS GISH
12020	cuneiformsignal	CUNEIFORM SIGN AL
12021	cuneiformsignaltimesal	CUNEIFORM SIGN AL TIMES AL
12022	cuneiformsignaltimesdim2	CUNEIFORM SIGN AL TIMES DIM2
12023	cuneiformsignaltimesgish	CUNEIFORM SIGN AL TIMES GISH
12024	cuneiformsignaltimesha	CUNEIFORM SIGN AL TIMES HA
12025	cuneiformsignaltimeskad3	CUNEIFORM SIGN AL TIMES KAD3
12026	cuneiformsignaltimeski	CUNEIFORM SIGN AL TIMES KI
12027	cuneiformsignaltimesshe	CUNEIFORM SIGN AL TIMES SHE
12028	cuneiformsignaltimesush	CUNEIFORM SIGN AL TIMES USH
12029	cuneiformsignalan	CUNEIFORM SIGN ALAN
1202A	cuneiformsignaleph	CUNEIFORM SIGN ALEPH
1202B	cuneiformsignamar	CUNEIFORM SIGN AMAR
1202C	cuneiformsignamartimesshe	CUNEIFORM SIGN AMAR TIMES SHE
1202D	cuneiformsignan	CUNEIFORM SIGN AN
1202E	cuneiformsignanoveran	CUNEIFORM SIGN AN OVER AN
1202F	cuneiformsignanthreetimes	CUNEIFORM SIGN AN THREE TIMES
12030	cuneiformsignanplusnagaopposinganplusnaga	CUNEIFORM SIGN AN PLUS NAGA OPPOSING AN PLUS NAGA
12031	cuneiformsignanplusnagasquared	CUNEIFORM SIGN AN PLUS NAGA SQUARED
12032	cuneiformsignanshe	CUNEIFORM SIGN ANSHE
12033	cuneiformsignapin	CUNEIFORM SIGN APIN
12034	cuneiformsignarad	CUNEIFORM SIGN ARAD
12035	cuneiformsignaradtimeskur	CUNEIFORM SIGN ARAD TIMES KUR
12036	cuneiformsignarkab	CUNEIFORM SIGN ARKAB
12037	cuneiformsignasal2	CUNEIFORM SIGN ASAL2
12038	cuneiformsignash	CUNEIFORM SIGN ASH
12039	cuneiformsignashzidatenu	CUNEIFORM SIGN ASH ZIDA TENU
1203A	cuneiformsignashkabatenu	CUNEIFORM SIGN ASH KABA TENU
1203B	cuneiformsignashoverashtug2overtug2tug2overtug2pap	CUNEIFORM SIGN ASH OVER ASH TUG2 OVER TUG2 TUG2 OVER TUG2 PAP
1203C	cuneiformsignashoverashoverash	CUNEIFORM SIGN ASH OVER ASH OVER ASH
1203D	cuneiformsignashoverashoverashcrossingashoverashoverash	CUNEIFORM SIGN ASH OVER ASH OVER ASH CROSSING ASH OVER ASH OVER ASH
1203E	cuneiformsignash2	CUNEIFORM SIGN ASH2
1203F	cuneiformsignashgab	CUNEIFORM SIGN ASHGAB
12040	cuneiformsignba	CUNEIFORM SIGN BA
12041	cuneiformsignbad	CUNEIFORM SIGN BAD
12042	cuneiformsignbag3	CUNEIFORM SIGN BAG3
12043	cuneiformsignbahar2	CUNEIFORM SIGN BAHAR2
12044	cuneiformsignbal	CUNEIFORM SIGN BAL
12045	cuneiformsignbaloverbal	CUNEIFORM SIGN BAL OVER BAL
12046	cuneiformsignbalag	CUNEIFORM SIGN BALAG
12047	cuneiformsignbar	CUNEIFORM SIGN BAR
12048	cuneiformsignbara2	CUNEIFORM SIGN BARA2
12049	cuneiformsignbi	CUNEIFORM SIGN BI
1204A	cuneiformsignbitimesa	CUNEIFORM SIGN BI TIMES A
1204B	cuneiformsignbitimesgar	CUNEIFORM SIGN BI TIMES GAR
1204C	cuneiformsignbitimesigigunu	CUNEIFORM SIGN BI TIMES IGI GUNU
1204D	cuneiformsignbu	CUNEIFORM SIGN BU
1204E	cuneiformsignbuoverbuab	CUNEIFORM SIGN BU OVER BU AB
1204F	cuneiformsignbuoverbuun	CUNEIFORM SIGN BU OVER BU UN
12050	cuneiformsignbucrossingbu	CUNEIFORM SIGN BU CROSSING BU
12051	cuneiformsignbulug	CUNEIFORM SIGN BULUG
12052	cuneiformsignbulugoverbulug	CUNEIFORM SIGN BULUG OVER BULUG
12053	cuneiformsignbur	CUNEIFORM SIGN BUR
12054	cuneiformsignbur2	CUNEIFORM SIGN BUR2
12055	cuneiformsignda	CUNEIFORM SIGN DA
12056	cuneiformsigndag	CUNEIFORM SIGN DAG
12057	cuneiformsigndagkisim5timesaplusmash	CUNEIFORM SIGN DAG KISIM5 TIMES A PLUS MASH
12058	cuneiformsigndagkisim5timesamar	CUNEIFORM SIGN DAG KISIM5 TIMES AMAR
