# Cypriot Syllabary 10800 - 1083F
10800	cypriotsyllablea	CYPRIOT SYLLABLE A
10801	cypriotsyllablee	CYPRIOT SYLLABLE E
10802	cypriotsyllablei	CYPRIOT SYLLABLE I
10803	cypriotsyllableo	CYPRIOT SYLLABLE O
10804	cypriotsyllableu	CYPRIOT SYLLABLE U
10805	cypriotsyllableja	CYPRIOT SYLLABLE JA
10808	cypriotsyllablejo	CYPRIOT SYLLABLE JO
1080A	cypriotsyllableka	CYPRIOT SYLLABLE KA
1080B	cypriotsyllableke	CYPRIOT SYLLABLE KE
1080C	cypriotsyllableki	CYPRIOT SYLLABLE KI
1080D	cypriotsyllableko	CYPRIOT SYLLABLE KO
1080E	cypriotsyllableku	CYPRIOT SYLLABLE KU
1080F	cypriotsyllablela	CYPRIOT SYLLABLE LA
10810	cypriotsyllablele	CYPRIOT SYLLABLE LE
10811	cypriotsyllableli	CYPRIOT SYLLABLE LI
10812	cypriotsyllablelo	CYPRIOT SYLLABLE LO
10813	cypriotsyllablelu	CYPRIOT SYLLABLE LU
10814	cypriotsyllablema	CYPRIOT SYLLABLE MA
10815	cypriotsyllableme	CYPRIOT SYLLABLE ME
10816	cypriotsyllablemi	CYPRIOT SYLLABLE MI
10817	cypriotsyllablemo	CYPRIOT SYLLABLE MO
10818	cypriotsyllablemu	CYPRIOT SYLLABLE MU
10819	cypriotsyllablena	CYPRIOT SYLLABLE NA
1081A	cypriotsyllablene	CYPRIOT SYLLABLE NE
1081B	cypriotsyllableni	CYPRIOT SYLLABLE NI
1081C	cypriotsyllableno	CYPRIOT SYLLABLE NO
1081D	cypriotsyllablenu	CYPRIOT SYLLABLE NU
1081E	cypriotsyllablepa	CYPRIOT SYLLABLE PA
1081F	cypriotsyllablepe	CYPRIOT SYLLABLE PE
10820	cypriotsyllablepi	CYPRIOT SYLLABLE PI
10821	cypriotsyllablepo	CYPRIOT SYLLABLE PO
10822	cypriotsyllablepu	CYPRIOT SYLLABLE PU
10823	cypriotsyllablera	CYPRIOT SYLLABLE RA
10824	cypriotsyllablere	CYPRIOT SYLLABLE RE
10825	cypriotsyllableri	CYPRIOT SYLLABLE RI
10826	cypriotsyllablero	CYPRIOT SYLLABLE RO
10827	cypriotsyllableru	CYPRIOT SYLLABLE RU
10828	cypriotsyllablesa	CYPRIOT SYLLABLE SA
10829	cypriotsyllablese	CYPRIOT SYLLABLE SE
1082A	cypriotsyllablesi	CYPRIOT SYLLABLE SI
1082B	cypriotsyllableso	CYPRIOT SYLLABLE SO
1082C	cypriotsyllablesu	CYPRIOT SYLLABLE SU
1082D	cypriotsyllableta	CYPRIOT SYLLABLE TA
1082E	cypriotsyllablete	CYPRIOT SYLLABLE TE
1082F	cypriotsyllableti	CYPRIOT SYLLABLE TI
10830	cypriotsyllableto	CYPRIOT SYLLABLE TO
10831	cypriotsyllabletu	CYPRIOT SYLLABLE TU
10832	cypriotsyllablewa	CYPRIOT SYLLABLE WA
10833	cypriotsyllablewe	CYPRIOT SYLLABLE WE
10834	cypriotsyllablewi	CYPRIOT SYLLABLE WI
10835	cypriotsyllablewo	CYPRIOT SYLLABLE WO
10837	cypriotsyllablexa	CYPRIOT SYLLABLE XA
10838	cypriotsyllablexe	CYPRIOT SYLLABLE XE
1083C	cypriotsyllableza	CYPRIOT SYLLABLE ZA
1083F	cypriotsyllablezo	CYPRIOT SYLLABLE ZO
