# Dingbats 2700 - 27BF
2701	dngb-scissorsupperblade	UPPER BLADE SCISSORS
2702	dngb-scissorsblack	BLACK SCISSORS
2703	dngb-scissorslowerblade	LOWER BLADE SCISSORS
2704	dngb-scissorswhite	WHITE SCISSORS
2706	dngb-telephonelocationsign	TELEPHONE LOCATION SIGN
2707	dngb-tapedrive	TAPE DRIVE
2708	dngb-airplane	AIRPLANE
2709	dngb-envelope	ENVELOPE
270C	dngb-hvictory	VICTORY HAND
270D	dngb-hwriting	WRITING HAND
270E	dngb-pencillowerright	LOWER RIGHT PENCIL
270F	dngb-pencil	PENCIL
2710	dngb-pencilupperright	UPPER RIGHT PENCIL
2711	dngb-nibwhite	WHITE NIB
2712	dngb-nibblack	BLACK NIB
2713	dngb-check	CHECK MARK
2714	dngb-checkheavy	HEAVY CHECK MARK
2715	dngb-multiplicationx	MULTIPLICATION X
2716	dngb-multiplicationxheavy	HEAVY MULTIPLICATION X
2717	dngb-ballotx	BALLOT X
2718	dngb-ballotxheavy	HEAVY BALLOT X
2719	dngb-greekcrossoutlined	OUTLINED GREEK CROSS
271A	dngb-greekcrossheavy	HEAVY GREEK CROSS
271B	dngb-crosscentreopen	OPEN CENTRE CROSS
271C	dngb-crosscentreopenheavy	HEAVY OPEN CENTRE CROSS
271D	dngb-latincross	LATIN CROSS
271E	dngb-latincrossshadowedwhite	SHADOWED WHITE LATIN CROSS
271F	dngb-latincrossoutlined	OUTLINED LATIN CROSS
2720	dngb-maltesecross	MALTESE CROSS
2721	dngb-starofdavid	STAR OF DAVID
2722	dngb-asteriskteardropfour	FOUR TEARDROP-SPOKED ASTERISK
2723	dngb-asteriskballoonfour	FOUR BALLOON-SPOKED ASTERISK
2724	dngb-asteriskballoonheavyfour	HEAVY FOUR BALLOON-SPOKED ASTERISK
2725	dngb-asteriskclubfour	FOUR CLUB-SPOKED ASTERISK
2726	dngb-starpointedblackfour	BLACK FOUR POINTED STAR
2727	dngb-starpointedwhitefour	WHITE FOUR POINTED STAR
2729	dngb-staroutlinedstresswhite	STRESS OUTLINED WHITE STAR
272A	dngb-starcircledwhite	CIRCLED WHITE STAR
272B	dngb-starcentreopenblack	OPEN CENTRE BLACK STAR
272C	dngb-starcentreblackwhite	BLACK CENTRE WHITE STAR
272D	dngb-staroutlinedblack	OUTLINED BLACK STAR
272E	dngb-staroutlinedblackheavy	HEAVY OUTLINED BLACK STAR
272F	dngb-starpinwheel	PINWHEEL STAR
2730	dngb-starshadowedwhite	SHADOWED WHITE STAR
2731	dngb-asteriskheavy	HEAVY ASTERISK
2732	dngb-asteriskcentreopen	OPEN CENTRE ASTERISK
2733	dngb-spokedasteriskeight	EIGHT SPOKED ASTERISK
2734	dngb-starpointedblackeight	EIGHT POINTED BLACK STAR
2735	dngb-starpointedpinwheeleight	EIGHT POINTED PINWHEEL STAR
2736	dngb-starpointedblacksix	SIX POINTED BLACK STAR
2737	dngb-compasstarpointedblackeight	EIGHT POINTED RECTILINEAR BLACK STAR
2738	dngb-compasstarpointedblackheavyeight	HEAVY EIGHT POINTED RECTILINEAR BLACK STAR
2739	dngb-starpointedblacktwelve	TWELVE POINTED BLACK STAR
273A	dngb-asteriskpointedsixteen	SIXTEEN POINTED ASTERISK
273B	dngb-asteriskteardrop	TEARDROP-SPOKED ASTERISK
273C	dngb-asteriskteardropcentreopen	OPEN CENTRE TEARDROP-SPOKED ASTERISK
273D	dngb-asteriskteardropheavy	HEAVY TEARDROP-SPOKED ASTERISK
273E	dngb-florettepetalledblackwhitesix	SIX PETALLED BLACK AND WHITE FLORETTE
273F	dngb-floretteblack	BLACK FLORETTE
2740	dngb-florettewhite	WHITE FLORETTE
2741	dngb-floretteoutlinedpetalledblackeight	EIGHT PETALLED OUTLINED BLACK FLORETTE
2742	dngb-starcentreopenpointedcircledeight	CIRCLED OPEN CENTRE EIGHT POINTED STAR
