# Egyptian Hieroglyphs 13000 - 1342F
13000	egyptianhieroglypha001	EGYPTIAN HIEROGLYPH A001
13001	egyptianhieroglypha002	EGYPTIAN HIEROGLYPH A002
13002	egyptianhieroglypha003	EGYPTIAN HIEROGLYPH A003
13003	egyptianhieroglypha004	EGYPTIAN HIEROGLYPH A004
13004	egyptianhieroglypha005	EGYPTIAN HIEROGLYPH A005
13005	egyptianhieroglypha005a	EGYPTIAN HIEROGLYPH A005A
13006	egyptianhieroglypha006	EGYPTIAN HIEROGLYPH A006
13007	egyptianhieroglypha006a	EGYPTIAN HIEROGLYPH A006A
13008	egyptianhieroglypha006b	EGYPTIAN HIEROGLYPH A006B
13009	egyptianhieroglypha007	EGYPTIAN HIEROGLYPH A007
1300A	egyptianhieroglypha008	EGYPTIAN HIEROGLYPH A008
1300B	egyptianhieroglypha009	EGYPTIAN HIEROGLYPH A009
1300C	egyptianhieroglypha010	EGYPTIAN HIEROGLYPH A010
1300D	egyptianhieroglypha011	EGYPTIAN HIEROGLYPH A011
1300E	egyptianhieroglypha012	EGYPTIAN HIEROGLYPH A012
1300F	egyptianhieroglypha013	EGYPTIAN HIEROGLYPH A013
13010	egyptianhieroglypha014	EGYPTIAN HIEROGLYPH A014
13011	egyptianhieroglypha014a	EGYPTIAN HIEROGLYPH A014A
13012	egyptianhieroglypha015	EGYPTIAN HIEROGLYPH A015
13013	egyptianhieroglypha016	EGYPTIAN HIEROGLYPH A016
13014	egyptianhieroglypha017	EGYPTIAN HIEROGLYPH A017
13015	egyptianhieroglypha017a	EGYPTIAN HIEROGLYPH A017A
13016	egyptianhieroglypha018	EGYPTIAN HIEROGLYPH A018
13017	egyptianhieroglypha019	EGYPTIAN HIEROGLYPH A019
13018	egyptianhieroglypha020	EGYPTIAN HIEROGLYPH A020
13019	egyptianhieroglypha021	EGYPTIAN HIEROGLYPH A021
1301A	egyptianhieroglypha022	EGYPTIAN HIEROGLYPH A022
1301B	egyptianhieroglypha023	EGYPTIAN HIEROGLYPH A023
1301C	egyptianhieroglypha024	EGYPTIAN HIEROGLYPH A024
1301D	egyptianhieroglypha025	EGYPTIAN HIEROGLYPH A025
1301E	egyptianhieroglypha026	EGYPTIAN HIEROGLYPH A026
1301F	egyptianhieroglypha027	EGYPTIAN HIEROGLYPH A027
13020	egyptianhieroglypha028	EGYPTIAN HIEROGLYPH A028
13021	egyptianhieroglypha029	EGYPTIAN HIEROGLYPH A029
13022	egyptianhieroglypha030	EGYPTIAN HIEROGLYPH A030
13023	egyptianhieroglypha031	EGYPTIAN HIEROGLYPH A031
13024	egyptianhieroglypha032	EGYPTIAN HIEROGLYPH A032
13025	egyptianhieroglypha032a	EGYPTIAN HIEROGLYPH A032A
13026	egyptianhieroglypha033	EGYPTIAN HIEROGLYPH A033
13027	egyptianhieroglypha034	EGYPTIAN HIEROGLYPH A034
13028	egyptianhieroglypha035	EGYPTIAN HIEROGLYPH A035
13029	egyptianhieroglypha036	EGYPTIAN HIEROGLYPH A036
1302A	egyptianhieroglypha037	EGYPTIAN HIEROGLYPH A037
1302B	egyptianhieroglypha038	EGYPTIAN HIEROGLYPH A038
1302C	egyptianhieroglypha039	EGYPTIAN HIEROGLYPH A039
1302D	egyptianhieroglypha040	EGYPTIAN HIEROGLYPH A040
1302E	egyptianhieroglypha040a	EGYPTIAN HIEROGLYPH A040A
1302F	egyptianhieroglypha041	EGYPTIAN HIEROGLYPH A041
13030	egyptianhieroglypha042	EGYPTIAN HIEROGLYPH A042
13031	egyptianhieroglypha042a	EGYPTIAN HIEROGLYPH A042A
13032	egyptianhieroglypha043	EGYPTIAN HIEROGLYPH A043
13033	egyptianhieroglypha043a	EGYPTIAN HIEROGLYPH A043A
13034	egyptianhieroglypha044	EGYPTIAN HIEROGLYPH A044
13035	egyptianhieroglypha045	EGYPTIAN HIEROGLYPH A045
13036	egyptianhieroglypha045a	EGYPTIAN HIEROGLYPH A045A
13037	egyptianhieroglypha046	EGYPTIAN HIEROGLYPH A046
13038	egyptianhieroglypha047	EGYPTIAN HIEROGLYPH A047
13039	egyptianhieroglypha048	EGYPTIAN HIEROGLYPH A048
1303A	egyptianhieroglypha049	EGYPTIAN HIEROGLYPH A049
1303B	egyptianhieroglypha050	EGYPTIAN HIEROGLYPH A050
1303C	egyptianhieroglypha051	EGYPTIAN HIEROGLYPH A051
1303D	egyptianhieroglypha052	EGYPTIAN HIEROGLYPH A052
1303E	egyptianhieroglypha053	EGYPTIAN HIEROGLYPH A053
1303F	egyptianhieroglypha054	EGYPTIAN HIEROGLYPH A054
13040	egyptianhieroglypha055	EGYPTIAN HIEROGLYPH A055
13041	egyptianhieroglypha056	EGYPTIAN HIEROGLYPH A056
13042	egyptianhieroglypha057	EGYPTIAN HIEROGLYPH A057
13043	egyptianhieroglypha058	EGYPTIAN HIEROGLYPH A058
13044	egyptianhieroglypha059	EGYPTIAN HIEROGLYPH A059
13045	egyptianhieroglypha060	EGYPTIAN HIEROGLYPH A060
13046	egyptianhieroglypha061	EGYPTIAN HIEROGLYPH A061
13047	egyptianhieroglypha062	EGYPTIAN HIEROGLYPH A062
13048	egyptianhieroglypha063	EGYPTIAN HIEROGLYPH A063
13049	egyptianhieroglypha064	EGYPTIAN HIEROGLYPH A064
1304A	egyptianhieroglypha065	EGYPTIAN HIEROGLYPH A065
1304B	egyptianhieroglypha066	EGYPTIAN HIEROGLYPH A066
1304C	egyptianhieroglypha067	EGYPTIAN HIEROGLYPH A067
1304D	egyptianhieroglypha068	EGYPTIAN HIEROGLYPH A068
1304E	egyptianhieroglypha069	EGYPTIAN HIEROGLYPH A069
1304F	egyptianhieroglypha070	EGYPTIAN HIEROGLYPH A070
13050	egyptianhieroglyphb001	EGYPTIAN HIEROGLYPH B001
13051	egyptianhieroglyphb002	EGYPTIAN HIEROGLYPH B002
13052	egyptianhieroglyphb003	EGYPTIAN HIEROGLYPH B003
13053	egyptianhieroglyphb004	EGYPTIAN HIEROGLYPH B004
13054	egyptianhieroglyphb005	EGYPTIAN HIEROGLYPH B005
13055	egyptianhieroglyphb005a	EGYPTIAN HIEROGLYPH B005A
13056	egyptianhieroglyphb006	EGYPTIAN HIEROGLYPH B006
13057	egyptianhieroglyphb007	EGYPTIAN HIEROGLYPH B007
13058	egyptianhieroglyphb008	EGYPTIAN HIEROGLYPH B008
13059	egyptianhieroglyphb009	EGYPTIAN HIEROGLYPH B009
1305A	egyptianhieroglyphc001	EGYPTIAN HIEROGLYPH C001
1305B	egyptianhieroglyphc002	EGYPTIAN HIEROGLYPH C002
1305C	egyptianhieroglyphc002a	EGYPTIAN HIEROGLYPH C002A
1305D	egyptianhieroglyphc002b	EGYPTIAN HIEROGLYPH C002B
1305E	egyptianhieroglyphc002c	EGYPTIAN HIEROGLYPH C002C
1305F	egyptianhieroglyphc003	EGYPTIAN HIEROGLYPH C003
13060	egyptianhieroglyphc004	EGYPTIAN HIEROGLYPH C004
13061	egyptianhieroglyphc005	EGYPTIAN HIEROGLYPH C005
13062	egyptianhieroglyphc006	EGYPTIAN HIEROGLYPH C006
13063	egyptianhieroglyphc007	EGYPTIAN HIEROGLYPH C007
13064	egyptianhieroglyphc008	EGYPTIAN HIEROGLYPH C008
13065	egyptianhieroglyphc009	EGYPTIAN HIEROGLYPH C009
13066	egyptianhieroglyphc010	EGYPTIAN HIEROGLYPH C010
13067	egyptianhieroglyphc010a	EGYPTIAN HIEROGLYPH C010A
13068	egyptianhieroglyphc011	EGYPTIAN HIEROGLYPH C011
13069	egyptianhieroglyphc012	EGYPTIAN HIEROGLYPH C012
1306A	egyptianhieroglyphc013	EGYPTIAN HIEROGLYPH C013
1306B	egyptianhieroglyphc014	EGYPTIAN HIEROGLYPH C014
1306C	egyptianhieroglyphc015	EGYPTIAN HIEROGLYPH C015
1306D	egyptianhieroglyphc016	EGYPTIAN HIEROGLYPH C016
1306E	egyptianhieroglyphc017	EGYPTIAN HIEROGLYPH C017
1306F	egyptianhieroglyphc018	EGYPTIAN HIEROGLYPH C018
13070	egyptianhieroglyphc019	EGYPTIAN HIEROGLYPH C019
13071	egyptianhieroglyphc020	EGYPTIAN HIEROGLYPH C020
13072	egyptianhieroglyphc021	EGYPTIAN HIEROGLYPH C021
13073	egyptianhieroglyphc022	EGYPTIAN HIEROGLYPH C022
13074	egyptianhieroglyphc023	EGYPTIAN HIEROGLYPH C023
13075	egyptianhieroglyphc024	EGYPTIAN HIEROGLYPH C024
13076	egyptianhieroglyphd001	EGYPTIAN HIEROGLYPH D001
13077	egyptianhieroglyphd002	EGYPTIAN HIEROGLYPH D002
