# Enclosed Alphanumeric Supplement 1F100 - 1F1FF
1F100	zerofullstop	DIGIT ZERO FULL STOP
1F101	zerocomma	DIGIT ZERO COMMA
1F102	onecomma	DIGIT ONE COMMA
1F103	twocomma	DIGIT TWO COMMA
1F104	threecomma	DIGIT THREE COMMA
1F105	fourcomma	DIGIT FOUR COMMA
1F106	fivecomma	DIGIT FIVE COMMA
1F107	sixcomma	DIGIT SIX COMMA
1F108	sevencomma	DIGIT SEVEN COMMA
1F109	eightcomma	DIGIT EIGHT COMMA
1F10A	ninecomma	DIGIT NINE COMMA
1F110	Aparens	PARENTHESIZED LATIN CAPITAL LETTER A
1F111	Bparens	PARENTHESIZED LATIN CAPITAL LETTER B
1F112	Cparens	PARENTHESIZED LATIN CAPITAL LETTER C
1F113	Dparens	PARENTHESIZED LATIN CAPITAL LETTER D
1F114	Eparens	PARENTHESIZED LATIN CAPITAL LETTER E
1F115	Fparens	PARENTHESIZED LATIN CAPITAL LETTER F
1F116	Gparens	PARENTHESIZED LATIN CAPITAL LETTER G
1F117	Hparens	PARENTHESIZED LATIN CAPITAL LETTER H
1F118	Iparens	PARENTHESIZED LATIN CAPITAL LETTER I
1F119	Jparens	PARENTHESIZED LATIN CAPITAL LETTER J
1F11A	Kparens	PARENTHESIZED LATIN CAPITAL LETTER K
1F11B	Lparens	PARENTHESIZED LATIN CAPITAL LETTER L
1F11C	Mparens	PARENTHESIZED LATIN CAPITAL LETTER M
1F11D	Nparens	PARENTHESIZED LATIN CAPITAL LETTER N
1F11E	Oparens	PARENTHESIZED LATIN CAPITAL LETTER O
1F11F	Pparens	PARENTHESIZED LATIN CAPITAL LETTER P
1F120	Qparens	PARENTHESIZED LATIN CAPITAL LETTER Q
1F121	Rparens	PARENTHESIZED LATIN CAPITAL LETTER R
1F122	Sparens	PARENTHESIZED LATIN CAPITAL LETTER S
1F123	Tparens	PARENTHESIZED LATIN CAPITAL LETTER T
1F124	Uparens	PARENTHESIZED LATIN CAPITAL LETTER U
1F125	Vparens	PARENTHESIZED LATIN CAPITAL LETTER V
1F126	Wparens	PARENTHESIZED LATIN CAPITAL LETTER W
1F127	Xparens	PARENTHESIZED LATIN CAPITAL LETTER X
1F128	Yparens	PARENTHESIZED LATIN CAPITAL LETTER Y
1F129	Zparens	PARENTHESIZED LATIN CAPITAL LETTER Z
1F12A	Sshell	TORTOISE SHELL BRACKETED LATIN CAPITAL LETTER S
1F12B	Citaliccircle	CIRCLED ITALIC LATIN CAPITAL LETTER C
1F12C	Ritaliccircle	CIRCLED ITALIC LATIN CAPITAL LETTER R
1F12D	CDcircle	CIRCLED CD
1F12E	WZcircle	CIRCLED WZ
1F131	Bsquare	SQUARED LATIN CAPITAL LETTER B
1F13D	Nsquare	SQUARED LATIN CAPITAL LETTER N
1F13F	Psquare	SQUARED LATIN CAPITAL LETTER P
1F142	Ssquare	SQUARED LATIN CAPITAL LETTER S
1F146	Wsquare	SQUARED LATIN CAPITAL LETTER W
1F14A	HVsquare	SQUARED HV
1F14B	MVsquare	SQUARED MV
1F14C	SDsquare	SQUARED SD
1F14D	SSsquare	SQUARED SS
1F14E	PPVsquare	SQUARED PPV
1F157	Hcircleblack	NEGATIVE CIRCLED LATIN CAPITAL LETTER H
1F15F	Pcircleblack	NEGATIVE CIRCLED LATIN CAPITAL LETTER P
1F179	Jsquareblack	NEGATIVE SQUARED LATIN CAPITAL LETTER J
1F17B	Lsquareblack	NEGATIVE SQUARED LATIN CAPITAL LETTER L
1F17C	Msquareblack	NEGATIVE SQUARED LATIN CAPITAL LETTER M
1F17F	Psquareblack	NEGATIVE SQUARED LATIN CAPITAL LETTER P
1F18A	Pcrosssquareblack	CROSSED NEGATIVE SQUARED LATIN CAPITAL LETTER P
1F18B	ICsquareblack	NEGATIVE SQUARED IC
1F18C	PAsquareblack	NEGATIVE SQUARED PA
1F18D	SAsquareblack	NEGATIVE SQUARED SA
1F190	squaredj	SQUARE DJ
