# Ethiopic Extended 2D80 - 2DDF
2D80	ethiopicsyllableloa	ETHIOPIC SYLLABLE LOA
2D81	ethiopicsyllablemoa	ETHIOPIC SYLLABLE MOA
2D82	ethiopicsyllableroa	ETHIOPIC SYLLABLE ROA
2D83	ethiopicsyllablesoa	ETHIOPIC SYLLABLE SOA
2D84	ethiopicsyllableshoa	ETHIOPIC SYLLABLE SHOA
2D85	ethiopicsyllableboa	ETHIOPIC SYLLABLE BOA
2D86	ethiopicsyllabletoa	ETHIOPIC SYLLABLE TOA
2D87	ethiopicsyllablecoa	ETHIOPIC SYLLABLE COA
2D88	ethiopicsyllablenoa	ETHIOPIC SYLLABLE NOA
2D89	ethiopicsyllablenyoa	ETHIOPIC SYLLABLE NYOA
2D8A	ethiopicsyllableglottaloa	ETHIOPIC SYLLABLE GLOTTAL OA
2D8B	ethiopicsyllablezoa	ETHIOPIC SYLLABLE ZOA
2D8C	ethiopicsyllabledoa	ETHIOPIC SYLLABLE DOA
2D8D	ethiopicsyllableddoa	ETHIOPIC SYLLABLE DDOA
2D8E	ethiopicsyllablejoa	ETHIOPIC SYLLABLE JOA
2D8F	ethiopicsyllablethoa	ETHIOPIC SYLLABLE THOA
2D90	ethiopicsyllablechoa	ETHIOPIC SYLLABLE CHOA
2D91	ethiopicsyllablephoa	ETHIOPIC SYLLABLE PHOA
2D92	ethiopicsyllablepoa	ETHIOPIC SYLLABLE POA
2D93	ethiopicsyllableggwa	ETHIOPIC SYLLABLE GGWA
2D94	ethiopicsyllableggwi	ETHIOPIC SYLLABLE GGWI
2D95	ethiopicsyllableggwee	ETHIOPIC SYLLABLE GGWEE
2D96	ethiopicsyllableggwe	ETHIOPIC SYLLABLE GGWE
2DA0	ethiopicsyllablessa	ETHIOPIC SYLLABLE SSA
2DA1	ethiopicsyllablessu	ETHIOPIC SYLLABLE SSU
2DA2	ethiopicsyllablessi	ETHIOPIC SYLLABLE SSI
2DA3	ethiopicsyllablessaa	ETHIOPIC SYLLABLE SSAA
2DA4	ethiopicsyllablessee	ETHIOPIC SYLLABLE SSEE
2DA5	ethiopicsyllablesse	ETHIOPIC SYLLABLE SSE
2DA6	ethiopicsyllablesso	ETHIOPIC SYLLABLE SSO
2DA8	ethiopicsyllablecca	ETHIOPIC SYLLABLE CCA
2DA9	ethiopicsyllableccu	ETHIOPIC SYLLABLE CCU
2DAA	ethiopicsyllablecci	ETHIOPIC SYLLABLE CCI
2DAB	ethiopicsyllableccaa	ETHIOPIC SYLLABLE CCAA
2DAC	ethiopicsyllableccee	ETHIOPIC SYLLABLE CCEE
2DAD	ethiopicsyllablecce	ETHIOPIC SYLLABLE CCE
2DAE	ethiopicsyllablecco	ETHIOPIC SYLLABLE CCO
2DB0	ethiopicsyllablezza	ETHIOPIC SYLLABLE ZZA
2DB1	ethiopicsyllablezzu	ETHIOPIC SYLLABLE ZZU
2DB2	ethiopicsyllablezzi	ETHIOPIC SYLLABLE ZZI
2DB3	ethiopicsyllablezzaa	ETHIOPIC SYLLABLE ZZAA
2DB4	ethiopicsyllablezzee	ETHIOPIC SYLLABLE ZZEE
2DB5	ethiopicsyllablezze	ETHIOPIC SYLLABLE ZZE
2DB6	ethiopicsyllablezzo	ETHIOPIC SYLLABLE ZZO
2DB8	ethiopicsyllableccha	ETHIOPIC SYLLABLE CCHA
2DB9	ethiopicsyllablecchu	ETHIOPIC SYLLABLE CCHU
2DBA	ethiopicsyllablecchi	ETHIOPIC SYLLABLE CCHI
2DBB	ethiopicsyllablecchaa	ETHIOPIC SYLLABLE CCHAA
2DBC	ethiopicsyllablecchee	ETHIOPIC SYLLABLE CCHEE
2DBD	ethiopicsyllablecche	ETHIOPIC SYLLABLE CCHE
2DBE	ethiopicsyllableccho	ETHIOPIC SYLLABLE CCHO
2DC0	ethiopicsyllableqya	ETHIOPIC SYLLABLE QYA
2DC1	ethiopicsyllableqyu	ETHIOPIC SYLLABLE QYU
2DC2	ethiopicsyllableqyi	ETHIOPIC SYLLABLE QYI
2DC3	ethiopicsyllableqyaa	ETHIOPIC SYLLABLE QYAA
