# Georgian Supplement 2D00 - 2D2F
2D00	georgiansmallletteran	GEORGIAN SMALL LETTER AN
2D01	georgiansmallletterban	GEORGIAN SMALL LETTER BAN
2D02	georgiansmalllettergan	GEORGIAN SMALL LETTER GAN
2D03	georgiansmallletterdon	GEORGIAN SMALL LETTER DON
2D04	georgiansmallletteren	GEORGIAN SMALL LETTER EN
2D05	georgiansmalllettervin	GEORGIAN SMALL LETTER VIN
2D06	georgiansmallletterzen	GEORGIAN SMALL LETTER ZEN
2D07	georgiansmalllettertan	GEORGIAN SMALL LETTER TAN
2D08	georgiansmallletterin	GEORGIAN SMALL LETTER IN
2D09	georgiansmallletterkan	GEORGIAN SMALL LETTER KAN
2D0A	georgiansmallletterlas	GEORGIAN SMALL LETTER LAS
2D0B	georgiansmallletterman	GEORGIAN SMALL LETTER MAN
2D0C	georgiansmallletternar	GEORGIAN SMALL LETTER NAR
2D0D	georgiansmallletteron	GEORGIAN SMALL LETTER ON
2D0E	georgiansmallletterpar	GEORGIAN SMALL LETTER PAR
2D0F	georgiansmallletterzhar	GEORGIAN SMALL LETTER ZHAR
2D10	georgiansmallletterrae	GEORGIAN SMALL LETTER RAE
2D11	georgiansmalllettersan	GEORGIAN SMALL LETTER SAN
2D12	georgiansmalllettertar	GEORGIAN SMALL LETTER TAR
2D13	georgiansmallletterun	GEORGIAN SMALL LETTER UN
2D14	georgiansmallletterphar	GEORGIAN SMALL LETTER PHAR
2D15	georgiansmallletterkhar	GEORGIAN SMALL LETTER KHAR
2D16	georgiansmallletterghan	GEORGIAN SMALL LETTER GHAN
2D17	georgiansmallletterqar	GEORGIAN SMALL LETTER QAR
2D18	georgiansmalllettershin	GEORGIAN SMALL LETTER SHIN
2D19	georgiansmallletterchin	GEORGIAN SMALL LETTER CHIN
2D1A	georgiansmalllettercan	GEORGIAN SMALL LETTER CAN
2D1B	georgiansmallletterjil	GEORGIAN SMALL LETTER JIL
2D1C	georgiansmalllettercil	GEORGIAN SMALL LETTER CIL
2D1D	georgiansmallletterchar	GEORGIAN SMALL LETTER CHAR
2D1E	georgiansmallletterxan	GEORGIAN SMALL LETTER XAN
2D1F	georgiansmallletterjhan	GEORGIAN SMALL LETTER JHAN
2D20	georgiansmallletterhae	GEORGIAN SMALL LETTER HAE
2D21	georgiansmallletterhe	GEORGIAN SMALL LETTER HE
2D22	georgiansmallletterhie	GEORGIAN SMALL LETTER HIE
2D23	georgiansmallletterwe	GEORGIAN SMALL LETTER WE
2D24	georgiansmallletterhar	GEORGIAN SMALL LETTER HAR
2D25	georgiansmallletterhoe	GEORGIAN SMALL LETTER HOE
