# Glagolitic 2C00 - 2C5F
2C00	glagoliticcapitalletterazu	GLAGOLITIC CAPITAL LETTER AZU
2C01	glagoliticcapitalletterbuky	GLAGOLITIC CAPITAL LETTER BUKY
2C02	glagoliticcapitallettervede	GLAGOLITIC CAPITAL LETTER VEDE
2C03	glagoliticcapitalletterglagoli	GLAGOLITIC CAPITAL LETTER GLAGOLI
2C04	glagoliticcapitalletterdobro	GLAGOLITIC CAPITAL LETTER DOBRO
2C05	glagoliticcapitalletteryestu	GLAGOLITIC CAPITAL LETTER YESTU
2C06	glagoliticcapitalletterzhivete	GLAGOLITIC CAPITAL LETTER ZHIVETE
2C07	glagoliticcapitalletterdzelo	GLAGOLITIC CAPITAL LETTER DZELO
2C08	glagoliticcapitalletterzemlja	GLAGOLITIC CAPITAL LETTER ZEMLJA
2C09	glagoliticcapitalletterizhe	GLAGOLITIC CAPITAL LETTER IZHE
2C0A	glagoliticcapitalletterinitializhe	GLAGOLITIC CAPITAL LETTER INITIAL IZHE
2C0B	glagoliticcapitalletteri	GLAGOLITIC CAPITAL LETTER I
2C0C	glagoliticcapitalletterdjervi	GLAGOLITIC CAPITAL LETTER DJERVI
2C0D	glagoliticcapitalletterkako	GLAGOLITIC CAPITAL LETTER KAKO
2C0E	glagoliticcapitalletterljudije	GLAGOLITIC CAPITAL LETTER LJUDIJE
2C0F	glagoliticcapitallettermyslite	GLAGOLITIC CAPITAL LETTER MYSLITE
2C10	glagoliticcapitalletternashi	GLAGOLITIC CAPITAL LETTER NASHI
2C11	glagoliticcapitalletteronu	GLAGOLITIC CAPITAL LETTER ONU
2C12	glagoliticcapitalletterpokoji	GLAGOLITIC CAPITAL LETTER POKOJI
2C13	glagoliticcapitalletterritsi	GLAGOLITIC CAPITAL LETTER RITSI
2C14	glagoliticcapitalletterslovo	GLAGOLITIC CAPITAL LETTER SLOVO
2C15	glagoliticcapitallettertvrido	GLAGOLITIC CAPITAL LETTER TVRIDO
2C16	glagoliticcapitalletteruku	GLAGOLITIC CAPITAL LETTER UKU
2C17	glagoliticcapitalletterfritu	GLAGOLITIC CAPITAL LETTER FRITU
2C18	glagoliticcapitalletterheru	GLAGOLITIC CAPITAL LETTER HERU
2C19	glagoliticcapitalletterotu	GLAGOLITIC CAPITAL LETTER OTU
2C1A	glagoliticcapitalletterpe	GLAGOLITIC CAPITAL LETTER PE
2C1B	glagoliticcapitallettershta	GLAGOLITIC CAPITAL LETTER SHTA
2C1C	glagoliticcapitallettertsi	GLAGOLITIC CAPITAL LETTER TSI
2C1D	glagoliticcapitalletterchrivi	GLAGOLITIC CAPITAL LETTER CHRIVI
2C1E	glagoliticcapitallettersha	GLAGOLITIC CAPITAL LETTER SHA
2C1F	glagoliticcapitalletteryeru	GLAGOLITIC CAPITAL LETTER YERU
2C20	glagoliticcapitalletteryeri	GLAGOLITIC CAPITAL LETTER YERI
2C21	glagoliticcapitalletteryati	GLAGOLITIC CAPITAL LETTER YATI
2C22	glagoliticcapitalletterspideryha	GLAGOLITIC CAPITAL LETTER SPIDERY HA
2C23	glagoliticcapitalletteryu	GLAGOLITIC CAPITAL LETTER YU
2C24	glagoliticcapitallettersmallyus	GLAGOLITIC CAPITAL LETTER SMALL YUS
2C25	glagoliticcapitallettersmallyuswithtail	GLAGOLITIC CAPITAL LETTER SMALL YUS WITH TAIL
2C26	glagoliticcapitalletteryo	GLAGOLITIC CAPITAL LETTER YO
2C27	glagoliticcapitalletteriotatedsmallyus	GLAGOLITIC CAPITAL LETTER IOTATED SMALL YUS
2C28	glagoliticcapitalletterbigyus	GLAGOLITIC CAPITAL LETTER BIG YUS
2C29	glagoliticcapitalletteriotatedbigyus	GLAGOLITIC CAPITAL LETTER IOTATED BIG YUS
2C2A	glagoliticcapitalletterfita	GLAGOLITIC CAPITAL LETTER FITA
2C2B	glagoliticcapitalletterizhitsa	GLAGOLITIC CAPITAL LETTER IZHITSA
2C2C	glagoliticcapitallettershtapic	GLAGOLITIC CAPITAL LETTER SHTAPIC
2C2D	glagoliticcapitallettertrokutastia	GLAGOLITIC CAPITAL LETTER TROKUTASTI A
2C2E	glagoliticcapitalletterlatinatemyslite	GLAGOLITIC CAPITAL LETTER LATINATE MYSLITE
2C30	glagoliticsmallletterazu	GLAGOLITIC SMALL LETTER AZU
2C31	glagoliticsmallletterbuky	GLAGOLITIC SMALL LETTER BUKY
2C32	glagoliticsmalllettervede	GLAGOLITIC SMALL LETTER VEDE
2C33	glagoliticsmallletterglagoli	GLAGOLITIC SMALL LETTER GLAGOLI
2C34	glagoliticsmallletterdobro	GLAGOLITIC SMALL LETTER DOBRO
2C35	glagoliticsmallletteryestu	GLAGOLITIC SMALL LETTER YESTU
2C36	glagoliticsmallletterzhivete	GLAGOLITIC SMALL LETTER ZHIVETE
2C37	glagoliticsmallletterdzelo	GLAGOLITIC SMALL LETTER DZELO
2C38	glagoliticsmallletterzemlja	GLAGOLITIC SMALL LETTER ZEMLJA
2C39	glagoliticsmallletterizhe	GLAGOLITIC SMALL LETTER IZHE
2C3A	glagoliticsmallletterinitializhe	GLAGOLITIC SMALL LETTER INITIAL IZHE
2C3B	glagoliticsmallletteri	GLAGOLITIC SMALL LETTER I
2C3C	glagoliticsmallletterdjervi	GLAGOLITIC SMALL LETTER DJERVI
2C3D	glagoliticsmallletterkako	GLAGOLITIC SMALL LETTER KAKO
2C3E	glagoliticsmallletterljudije	GLAGOLITIC SMALL LETTER LJUDIJE
2C3F	glagoliticsmalllettermyslite	GLAGOLITIC SMALL LETTER MYSLITE
2C40	glagoliticsmallletternashi	GLAGOLITIC SMALL LETTER NASHI
2C41	glagoliticsmallletteronu	GLAGOLITIC SMALL LETTER ONU
2C42	glagoliticsmallletterpokoji	GLAGOLITIC SMALL LETTER POKOJI
2C43	glagoliticsmallletterritsi	GLAGOLITIC SMALL LETTER RITSI
2C44	glagoliticsmallletterslovo	GLAGOLITIC SMALL LETTER SLOVO
2C45	glagoliticsmalllettertvrido	GLAGOLITIC SMALL LETTER TVRIDO
2C46	glagoliticsmallletteruku	GLAGOLITIC SMALL LETTER UKU
2C47	glagoliticsmallletterfritu	GLAGOLITIC SMALL LETTER FRITU
2C48	glagoliticsmallletterheru	GLAGOLITIC SMALL LETTER HERU
2C49	glagoliticsmallletterotu	GLAGOLITIC SMALL LETTER OTU
2C4A	glagoliticsmallletterpe	GLAGOLITIC SMALL LETTER PE
2C4B	glagoliticsmalllettershta	GLAGOLITIC SMALL LETTER SHTA
