# Gothic 10330 - 1034F
10330	gothicletterahsa	GOTHIC LETTER AHSA
10331	gothicletterbairkan	GOTHIC LETTER BAIRKAN
10332	gothiclettergiba	GOTHIC LETTER GIBA
10333	gothicletterdags	GOTHIC LETTER DAGS
10334	gothicletteraihvus	GOTHIC LETTER AIHVUS
10335	gothicletterqairthra	GOTHIC LETTER QAIRTHRA
10336	gothicletteriuja	GOTHIC LETTER IUJA
10337	gothicletterhagl	GOTHIC LETTER HAGL
10338	gothicletterthiuth	GOTHIC LETTER THIUTH
10339	gothiclettereis	GOTHIC LETTER EIS
1033A	gothicletterkusma	GOTHIC LETTER KUSMA
1033B	gothicletterlagus	GOTHIC LETTER LAGUS
1033C	gothiclettermanna	GOTHIC LETTER MANNA
1033D	gothicletternauths	GOTHIC LETTER NAUTHS
1033E	gothicletterjer	GOTHIC LETTER JER
1033F	gothicletterurus	GOTHIC LETTER URUS
10340	gothicletterpairthra	GOTHIC LETTER PAIRTHRA
10341	gothicletterninety	GOTHIC LETTER NINETY
10342	gothicletterraida	GOTHIC LETTER RAIDA
10343	gothiclettersauil	GOTHIC LETTER SAUIL
10344	gothicletterteiws	GOTHIC LETTER TEIWS
10345	gothicletterwinja	GOTHIC LETTER WINJA
10346	gothicletterfaihu	GOTHIC LETTER FAIHU
10347	gothicletteriggws	GOTHIC LETTER IGGWS
10348	gothicletterhwair	GOTHIC LETTER HWAIR
10349	gothicletterothal	GOTHIC LETTER OTHAL
1034A	gothicletterninehundred	GOTHIC LETTER NINE HUNDRED
