# Hangul Jamo Extended-A A960 - A97F
A960	hangulchoseongtikeutmieum	HANGUL CHOSEONG TIKEUT-MIEUM
A961	hangulchoseongtikeutpieup	HANGUL CHOSEONG TIKEUT-PIEUP
A962	hangulchoseongtikeutsios	HANGUL CHOSEONG TIKEUT-SIOS
A963	hangulchoseongtikeutcieuc	HANGUL CHOSEONG TIKEUT-CIEUC
A964	hangulchoseongrieulkiyeok	HANGUL CHOSEONG RIEUL-KIYEOK
A965	hangulchoseongrieulssangkiyeok	HANGUL CHOSEONG RIEUL-SSANGKIYEOK
A966	hangulchoseongrieultikeut	HANGUL CHOSEONG RIEUL-TIKEUT
A967	hangulchoseongrieulssangtikeut	HANGUL CHOSEONG RIEUL-SSANGTIKEUT
A968	hangulchoseongrieulmieum	HANGUL CHOSEONG RIEUL-MIEUM
A969	hangulchoseongrieulpieup	HANGUL CHOSEONG RIEUL-PIEUP
A96A	hangulchoseongrieulssangpieup	HANGUL CHOSEONG RIEUL-SSANGPIEUP
A96B	hangulchoseongrieulkapyeounpieup	HANGUL CHOSEONG RIEUL-KAPYEOUNPIEUP
A96C	hangulchoseongrieulsios	HANGUL CHOSEONG RIEUL-SIOS
A96D	hangulchoseongrieulcieuc	HANGUL CHOSEONG RIEUL-CIEUC
A96E	hangulchoseongrieulkhieukh	HANGUL CHOSEONG RIEUL-KHIEUKH
A96F	hangulchoseongmieumkiyeok	HANGUL CHOSEONG MIEUM-KIYEOK
A970	hangulchoseongmieumtikeut	HANGUL CHOSEONG MIEUM-TIKEUT
A971	hangulchoseongmieumsios	HANGUL CHOSEONG MIEUM-SIOS
A972	hangulchoseongpieupsiosthieuth	HANGUL CHOSEONG PIEUP-SIOS-THIEUTH
A973	hangulchoseongpieupkhieukh	HANGUL CHOSEONG PIEUP-KHIEUKH
A974	hangulchoseongpieuphieuh	HANGUL CHOSEONG PIEUP-HIEUH
A975	hangulchoseongssangsiospieup	HANGUL CHOSEONG SSANGSIOS-PIEUP
A976	hangulchoseongieungrieul	HANGUL CHOSEONG IEUNG-RIEUL
A977	hangulchoseongieunghieuh	HANGUL CHOSEONG IEUNG-HIEUH
A978	hangulchoseongssangcieuchieuh	HANGUL CHOSEONG SSANGCIEUC-HIEUH
A979	hangulchoseongssangthieuth	HANGUL CHOSEONG SSANGTHIEUTH
A97A	hangulchoseongphieuphhieuh	HANGUL CHOSEONG PHIEUPH-HIEUH
A97B	hangulchoseonghieuhsios	HANGUL CHOSEONG HIEUH-SIOS
A97C	hangulchoseongssangyeorinhieuh	HANGUL CHOSEONG SSANGYEORINHIEUH
