# Hangul Jamo Extended-B D7B0 - D7FF
D7B0	hanguljungseongoyeo	HANGUL JUNGSEONG O-YEO
D7B1	hanguljungseongooi	HANGUL JUNGSEONG O-O-I
D7B2	hanguljungseongyoa	HANGUL JUNGSEONG YO-A
D7B3	hanguljungseongyoae	HANGUL JUNGSEONG YO-AE
D7B4	hanguljungseongyoeo	HANGUL JUNGSEONG YO-EO
D7B5	hanguljungseonguyeo	HANGUL JUNGSEONG U-YEO
D7B6	hanguljungseonguii	HANGUL JUNGSEONG U-I-I
D7B7	hanguljungseongyuae	HANGUL JUNGSEONG YU-AE
D7B8	hanguljungseongyuo	HANGUL JUNGSEONG YU-O
D7B9	hanguljungseongeua	HANGUL JUNGSEONG EU-A
D7BA	hanguljungseongeueo	HANGUL JUNGSEONG EU-EO
D7BB	hanguljungseongeue	HANGUL JUNGSEONG EU-E
D7BC	hanguljungseongeuo	HANGUL JUNGSEONG EU-O
D7BD	hanguljungseongiyao	HANGUL JUNGSEONG I-YA-O
D7BE	hanguljungseongiyae	HANGUL JUNGSEONG I-YAE
D7BF	hanguljungseongiyeo	HANGUL JUNGSEONG I-YEO
D7C0	hanguljungseongiye	HANGUL JUNGSEONG I-YE
D7C1	hanguljungseongioi	HANGUL JUNGSEONG I-O-I
D7C2	hanguljungseongiyo	HANGUL JUNGSEONG I-YO
D7C3	hanguljungseongiyu	HANGUL JUNGSEONG I-YU
D7C4	hanguljungseongii	HANGUL JUNGSEONG I-I
D7C5	hanguljungseongaraeaa	HANGUL JUNGSEONG ARAEA-A
D7C6	hanguljungseongaraeae	HANGUL JUNGSEONG ARAEA-E
D7CB	hanguljongseongnieunrieul	HANGUL JONGSEONG NIEUN-RIEUL
D7CC	hanguljongseongnieunchieuch	HANGUL JONGSEONG NIEUN-CHIEUCH
D7CD	hanguljongseongssangtikeut	HANGUL JONGSEONG SSANGTIKEUT
D7CE	hanguljongseongssangtikeutpieup	HANGUL JONGSEONG SSANGTIKEUT-PIEUP
D7CF	hanguljongseongtikeutpieup	HANGUL JONGSEONG TIKEUT-PIEUP
D7D0	hanguljongseongtikeutsios	HANGUL JONGSEONG TIKEUT-SIOS
D7D1	hanguljongseongtikeutsioskiyeok	HANGUL JONGSEONG TIKEUT-SIOS-KIYEOK
D7D2	hanguljongseongtikeutcieuc	HANGUL JONGSEONG TIKEUT-CIEUC
D7D3	hanguljongseongtikeutchieuch	HANGUL JONGSEONG TIKEUT-CHIEUCH
D7D4	hanguljongseongtikeutthieuth	HANGUL JONGSEONG TIKEUT-THIEUTH
D7D5	hanguljongseongrieulssangkiyeok	HANGUL JONGSEONG RIEUL-SSANGKIYEOK
D7D6	hanguljongseongrieulkiyeokhieuh	HANGUL JONGSEONG RIEUL-KIYEOK-HIEUH
D7D7	hanguljongseongssangrieulkhieukh	HANGUL JONGSEONG SSANGRIEUL-KHIEUKH
D7D8	hanguljongseongrieulmieumhieuh	HANGUL JONGSEONG RIEUL-MIEUM-HIEUH
D7D9	hanguljongseongrieulpieuptikeut	HANGUL JONGSEONG RIEUL-PIEUP-TIKEUT
D7DA	hanguljongseongrieulpieupphieuph	HANGUL JONGSEONG RIEUL-PIEUP-PHIEUPH
D7DB	hanguljongseongrieulyesieung	HANGUL JONGSEONG RIEUL-YESIEUNG
D7DC	hanguljongseongrieulyeorinhieuhhieuh	HANGUL JONGSEONG RIEUL-YEORINHIEUH-HIEUH
D7DD	hanguljongseongkapyeounrieul	HANGUL JONGSEONG KAPYEOUNRIEUL
D7DE	hanguljongseongmieumnieun	HANGUL JONGSEONG MIEUM-NIEUN
D7DF	hanguljongseongmieumssangnieun	HANGUL JONGSEONG MIEUM-SSANGNIEUN
D7E0	hanguljongseongssangmieum	HANGUL JONGSEONG SSANGMIEUM
D7E1	hanguljongseongmieumpieupsios	HANGUL JONGSEONG MIEUM-PIEUP-SIOS
D7E2	hanguljongseongmieumcieuc	HANGUL JONGSEONG MIEUM-CIEUC
D7E3	hanguljongseongpieuptikeut	HANGUL JONGSEONG PIEUP-TIKEUT
D7E4	hanguljongseongpieuprieulphieuph	HANGUL JONGSEONG PIEUP-RIEUL-PHIEUPH
D7E5	hanguljongseongpieupmieum	HANGUL JONGSEONG PIEUP-MIEUM
D7E6	hanguljongseongssangpieup	HANGUL JONGSEONG SSANGPIEUP
D7E7	hanguljongseongpieupsiostikeut	HANGUL JONGSEONG PIEUP-SIOS-TIKEUT
D7E8	hanguljongseongpieupcieuc	HANGUL JONGSEONG PIEUP-CIEUC
D7E9	hanguljongseongpieupchieuch	HANGUL JONGSEONG PIEUP-CHIEUCH
