# Hangul Syllables AC00 - D7AF
AC00	hangulsyllablega	HANGUL SYLLABLE GA
AC01	hangulsyllablegag	HANGUL SYLLABLE GAG
AC02	hangulsyllablegagg	HANGUL SYLLABLE GAGG
AC03	hangulsyllablegags	HANGUL SYLLABLE GAGS
AC04	hangulsyllablegan	HANGUL SYLLABLE GAN
AC05	hangulsyllableganj	HANGUL SYLLABLE GANJ
AC06	hangulsyllableganh	HANGUL SYLLABLE GANH
AC07	hangulsyllablegad	HANGUL SYLLABLE GAD
AC08	hangulsyllablegal	HANGUL SYLLABLE GAL
AC09	hangulsyllablegalg	HANGUL SYLLABLE GALG
AC0A	hangulsyllablegalm	HANGUL SYLLABLE GALM
AC0B	hangulsyllablegalb	HANGUL SYLLABLE GALB
AC0C	hangulsyllablegals	HANGUL SYLLABLE GALS
AC0D	hangulsyllablegalt	HANGUL SYLLABLE GALT
AC0E	hangulsyllablegalp	HANGUL SYLLABLE GALP
AC0F	hangulsyllablegalh	HANGUL SYLLABLE GALH
AC10	hangulsyllablegam	HANGUL SYLLABLE GAM
AC11	hangulsyllablegab	HANGUL SYLLABLE GAB
AC12	hangulsyllablegabs	HANGUL SYLLABLE GABS
AC13	hangulsyllablegas	HANGUL SYLLABLE GAS
AC14	hangulsyllablegass	HANGUL SYLLABLE GASS
AC15	hangulsyllablegang	HANGUL SYLLABLE GANG
AC16	hangulsyllablegaj	HANGUL SYLLABLE GAJ
AC17	hangulsyllablegac	HANGUL SYLLABLE GAC
AC18	hangulsyllablegak	HANGUL SYLLABLE GAK
AC19	hangulsyllablegat	HANGUL SYLLABLE GAT
AC1A	hangulsyllablegap	HANGUL SYLLABLE GAP
AC1B	hangulsyllablegah	HANGUL SYLLABLE GAH
AC1C	hangulsyllablegae	HANGUL SYLLABLE GAE
AC1D	hangulsyllablegaeg	HANGUL SYLLABLE GAEG
AC1E	hangulsyllablegaegg	HANGUL SYLLABLE GAEGG
AC1F	hangulsyllablegaegs	HANGUL SYLLABLE GAEGS
AC20	hangulsyllablegaen	HANGUL SYLLABLE GAEN
AC21	hangulsyllablegaenj	HANGUL SYLLABLE GAENJ
AC22	hangulsyllablegaenh	HANGUL SYLLABLE GAENH
AC23	hangulsyllablegaed	HANGUL SYLLABLE GAED
AC24	hangulsyllablegael	HANGUL SYLLABLE GAEL
AC25	hangulsyllablegaelg	HANGUL SYLLABLE GAELG
AC26	hangulsyllablegaelm	HANGUL SYLLABLE GAELM
AC27	hangulsyllablegaelb	HANGUL SYLLABLE GAELB
AC28	hangulsyllablegaels	HANGUL SYLLABLE GAELS
AC29	hangulsyllablegaelt	HANGUL SYLLABLE GAELT
AC2A	hangulsyllablegaelp	HANGUL SYLLABLE GAELP
AC2B	hangulsyllablegaelh	HANGUL SYLLABLE GAELH
AC2C	hangulsyllablegaem	HANGUL SYLLABLE GAEM
AC2D	hangulsyllablegaeb	HANGUL SYLLABLE GAEB
AC2E	hangulsyllablegaebs	HANGUL SYLLABLE GAEBS
AC2F	hangulsyllablegaes	HANGUL SYLLABLE GAES
AC30	hangulsyllablegaess	HANGUL SYLLABLE GAESS
AC31	hangulsyllablegaeng	HANGUL SYLLABLE GAENG
AC32	hangulsyllablegaej	HANGUL SYLLABLE GAEJ
AC33	hangulsyllablegaec	HANGUL SYLLABLE GAEC
AC34	hangulsyllablegaek	HANGUL SYLLABLE GAEK
AC35	hangulsyllablegaet	HANGUL SYLLABLE GAET
AC36	hangulsyllablegaep	HANGUL SYLLABLE GAEP
AC37	hangulsyllablegaeh	HANGUL SYLLABLE GAEH
AC38	hangulsyllablegya	HANGUL SYLLABLE GYA
AC39	hangulsyllablegyag	HANGUL SYLLABLE GYAG
AC3A	hangulsyllablegyagg	HANGUL SYLLABLE GYAGG
AC3B	hangulsyllablegyags	HANGUL SYLLABLE GYAGS
AC3C	hangulsyllablegyan	HANGUL SYLLABLE GYAN
AC3D	hangulsyllablegyanj	HANGUL SYLLABLE GYANJ
AC3E	hangulsyllablegyanh	HANGUL SYLLABLE GYANH
AC3F	hangulsyllablegyad	HANGUL SYLLABLE GYAD
AC40	hangulsyllablegyal	HANGUL SYLLABLE GYAL
AC41	hangulsyllablegyalg	HANGUL SYLLABLE GYALG
AC42	hangulsyllablegyalm	HANGUL SYLLABLE GYALM
AC43	hangulsyllablegyalb	HANGUL SYLLABLE GYALB
AC44	hangulsyllablegyals	HANGUL SYLLABLE GYALS
AC45	hangulsyllablegyalt	HANGUL SYLLABLE GYALT
AC46	hangulsyllablegyalp	HANGUL SYLLABLE GYALP
AC47	hangulsyllablegyalh	HANGUL SYLLABLE GYALH
AC48	hangulsyllablegyam	HANGUL SYLLABLE GYAM
AC49	hangulsyllablegyab	HANGUL SYLLABLE GYAB
AC4A	hangulsyllablegyabs	HANGUL SYLLABLE GYABS
AC4B	hangulsyllablegyas	HANGUL SYLLABLE GYAS
AC4C	hangulsyllablegyass	HANGUL SYLLABLE GYASS
AC4D	hangulsyllablegyang	HANGUL SYLLABLE GYANG
AC4E	hangulsyllablegyaj	HANGUL SYLLABLE GYAJ
AC4F	hangulsyllablegyac	HANGUL SYLLABLE GYAC
AC50	hangulsyllablegyak	HANGUL SYLLABLE GYAK
AC51	hangulsyllablegyat	HANGUL SYLLABLE GYAT
AC52	hangulsyllablegyap	HANGUL SYLLABLE GYAP
AC53	hangulsyllablegyah	HANGUL SYLLABLE GYAH
AC54	hangulsyllablegyae	HANGUL SYLLABLE GYAE
AC55	hangulsyllablegyaeg	HANGUL SYLLABLE GYAEG
AC56	hangulsyllablegyaegg	HANGUL SYLLABLE GYAEGG
