# Imperial Aramaic 10840 - 1085F
10840	imperialaramaicletteraleph	IMPERIAL ARAMAIC LETTER ALEPH
10841	imperialaramaicletterbeth	IMPERIAL ARAMAIC LETTER BETH
10842	imperialaramaiclettergimel	IMPERIAL ARAMAIC LETTER GIMEL
10843	imperialaramaicletterdaleth	IMPERIAL ARAMAIC LETTER DALETH
10844	imperialaramaicletterhe	IMPERIAL ARAMAIC LETTER HE
10845	imperialaramaicletterwaw	IMPERIAL ARAMAIC LETTER WAW
10846	imperialaramaicletterzayin	IMPERIAL ARAMAIC LETTER ZAYIN
10847	imperialaramaicletterheth	IMPERIAL ARAMAIC LETTER HETH
10848	imperialaramaicletterteth	IMPERIAL ARAMAIC LETTER TETH
10849	imperialaramaicletteryodh	IMPERIAL ARAMAIC LETTER YODH
1084A	imperialaramaicletterkaph	IMPERIAL ARAMAIC LETTER KAPH
1084B	imperialaramaicletterlamedh	IMPERIAL ARAMAIC LETTER LAMEDH
1084C	imperialaramaiclettermem	IMPERIAL ARAMAIC LETTER MEM
1084D	imperialaramaicletternun	IMPERIAL ARAMAIC LETTER NUN
1084E	imperialaramaiclettersamekh	IMPERIAL ARAMAIC LETTER SAMEKH
1084F	imperialaramaicletterayin	IMPERIAL ARAMAIC LETTER AYIN
10850	imperialaramaicletterpe	IMPERIAL ARAMAIC LETTER PE
10851	imperialaramaiclettersadhe	IMPERIAL ARAMAIC LETTER SADHE
10852	imperialaramaicletterqoph	IMPERIAL ARAMAIC LETTER QOPH
10853	imperialaramaicletterresh	IMPERIAL ARAMAIC LETTER RESH
10854	imperialaramaiclettershin	IMPERIAL ARAMAIC LETTER SHIN
10855	imperialaramaiclettertaw	IMPERIAL ARAMAIC LETTER TAW
10857	imperialaramaicsectionsign	IMPERIAL ARAMAIC SECTION SIGN
10858	imperialaramaicnumberone	IMPERIAL ARAMAIC NUMBER ONE
10859	imperialaramaicnumbertwo	IMPERIAL ARAMAIC NUMBER TWO
1085A	imperialaramaicnumberthree	IMPERIAL ARAMAIC NUMBER THREE
1085B	imperialaramaicnumberten	IMPERIAL ARAMAIC NUMBER TEN
1085C	imperialaramaicnumbertwenty	IMPERIAL ARAMAIC NUMBER TWENTY
1085D	imperialaramaicnumberonehundred	IMPERIAL ARAMAIC NUMBER ONE HUNDRED
1085E	imperialaramaicnumberonethousand	IMPERIAL ARAMAIC NUMBER ONE THOUSAND
1085F	imperialaramaicnumbertenthousand	IMPERIAL ARAMAIC NUMBER TEN THOUSAND
