# Kangxi Radicals 2F00 - 2FDF
2F00	kangxiradicalone	KANGXI RADICAL ONE
2F01	kangxiradicalline	KANGXI RADICAL LINE
2F02	kangxiradicaldot	KANGXI RADICAL DOT
2F03	kangxiradicalslash	KANGXI RADICAL SLASH
2F04	kangxiradicalsecond	KANGXI RADICAL SECOND
2F05	kangxiradicalhook	KANGXI RADICAL HOOK
2F06	kangxiradicaltwo	KANGXI RADICAL TWO
2F07	kangxiradicallid	KANGXI RADICAL LID
2F08	kangxiradicalman	KANGXI RADICAL MAN
2F09	kangxiradicallegs	KANGXI RADICAL LEGS
2F0A	kangxiradicalenter	KANGXI RADICAL ENTER
2F0B	kangxiradicaleight	KANGXI RADICAL EIGHT
2F0C	kangxiradicaldownbox	KANGXI RADICAL DOWN BOX
2F0D	kangxiradicalcover	KANGXI RADICAL COVER
2F0E	kangxiradicalice	KANGXI RADICAL ICE
2F0F	kangxiradicaltable	KANGXI RADICAL TABLE
2F10	kangxiradicalopenbox	KANGXI RADICAL OPEN BOX
2F11	kangxiradicalknife	KANGXI RADICAL KNIFE
2F12	kangxiradicalpower	KANGXI RADICAL POWER
2F13	kangxiradicalwrap	KANGXI RADICAL WRAP
2F14	kangxiradicalspoon	KANGXI RADICAL SPOON
2F15	kangxiradicalrightopenbox	KANGXI RADICAL RIGHT OPEN BOX
2F16	kangxiradicalhidingenclosure	KANGXI RADICAL HIDING ENCLOSURE
2F17	kangxiradicalten	KANGXI RADICAL TEN
2F18	kangxiradicaldivination	KANGXI RADICAL DIVINATION
2F19	kangxiradicalseal	KANGXI RADICAL SEAL
2F1A	kangxiradicalcliff	KANGXI RADICAL CLIFF
2F1B	kangxiradicalprivate	KANGXI RADICAL PRIVATE
2F1C	kangxiradicalagain	KANGXI RADICAL AGAIN
2F1D	kangxiradicalmouth	KANGXI RADICAL MOUTH
2F1E	kangxiradicalenclosure	KANGXI RADICAL ENCLOSURE
2F1F	kangxiradicalearth	KANGXI RADICAL EARTH
2F20	kangxiradicalscholar	KANGXI RADICAL SCHOLAR
2F21	kangxiradicalgo	KANGXI RADICAL GO
2F22	kangxiradicalgoslowly	KANGXI RADICAL GO SLOWLY
2F23	kangxiradicalevening	KANGXI RADICAL EVENING
2F24	kangxiradicalbig	KANGXI RADICAL BIG
2F25	kangxiradicalwoman	KANGXI RADICAL WOMAN
2F26	kangxiradicalchild	KANGXI RADICAL CHILD
2F27	kangxiradicalroof	KANGXI RADICAL ROOF
2F28	kangxiradicalinch	KANGXI RADICAL INCH
2F29	kangxiradicalsmall	KANGXI RADICAL SMALL
2F2A	kangxiradicallame	KANGXI RADICAL LAME
2F2B	kangxiradicalcorpse	KANGXI RADICAL CORPSE
2F2C	kangxiradicalsprout	KANGXI RADICAL SPROUT
2F2D	kangxiradicalmountain	KANGXI RADICAL MOUNTAIN
2F2E	kangxiradicalriver	KANGXI RADICAL RIVER
2F2F	kangxiradicalwork	KANGXI RADICAL WORK
2F30	kangxiradicaloneself	KANGXI RADICAL ONESELF
2F31	kangxiradicalturban	KANGXI RADICAL TURBAN
2F32	kangxiradicaldry	KANGXI RADICAL DRY
2F33	kangxiradicalshortthread	KANGXI RADICAL SHORT THREAD
2F34	kangxiradicaldottedcliff	KANGXI RADICAL DOTTED CLIFF
2F35	kangxiradicallongstride	KANGXI RADICAL LONG STRIDE
2F36	kangxiradicaltwohands	KANGXI RADICAL TWO HANDS
2F37	kangxiradicalshoot	KANGXI RADICAL SHOOT
2F38	kangxiradicalbow	KANGXI RADICAL BOW
2F39	kangxiradicalsnout	KANGXI RADICAL SNOUT
2F3A	kangxiradicalbristle	KANGXI RADICAL BRISTLE
2F3B	kangxiradicalstep	KANGXI RADICAL STEP
2F3C	kangxiradicalheart	KANGXI RADICAL HEART
2F3D	kangxiradicalhalberd	KANGXI RADICAL HALBERD
2F3E	kangxiradicaldoor	KANGXI RADICAL DOOR
2F3F	kangxiradicalhand	KANGXI RADICAL HAND
2F40	kangxiradicalbranch	KANGXI RADICAL BRANCH
2F41	kangxiradicalrap	KANGXI RADICAL RAP
2F42	kangxiradicalscript	KANGXI RADICAL SCRIPT
2F43	kangxiradicaldipper	KANGXI RADICAL DIPPER
2F44	kangxiradicalaxe	KANGXI RADICAL AXE
2F45	kangxiradicalsquare	KANGXI RADICAL SQUARE
2F46	kangxiradicalnot	KANGXI RADICAL NOT
2F47	kangxiradicalsun	KANGXI RADICAL SUN
2F48	kangxiradicalsay	KANGXI RADICAL SAY
2F49	kangxiradicalmoon	KANGXI RADICAL MOON
2F4A	kangxiradicaltree	KANGXI RADICAL TREE
2F4B	kangxiradicallack	KANGXI RADICAL LACK
2F4C	kangxiradicalstop	KANGXI RADICAL STOP
2F4D	kangxiradicaldeath	KANGXI RADICAL DEATH
2F4E	kangxiradicalweapon	KANGXI RADICAL WEAPON
2F4F	kangxiradicaldonot	KANGXI RADICAL DO NOT
2F50	kangxiradicalcompare	KANGXI RADICAL COMPARE
