# Kayah Li A900 - A92F
A900	kayahlidigitzero	KAYAH LI DIGIT ZERO
A901	kayahlidigitone	KAYAH LI DIGIT ONE
A902	kayahlidigittwo	KAYAH LI DIGIT TWO
A903	kayahlidigitthree	KAYAH LI DIGIT THREE
A904	kayahlidigitfour	KAYAH LI DIGIT FOUR
A905	kayahlidigitfive	KAYAH LI DIGIT FIVE
A906	kayahlidigitsix	KAYAH LI DIGIT SIX
A907	kayahlidigitseven	KAYAH LI DIGIT SEVEN
A908	kayahlidigiteight	KAYAH LI DIGIT EIGHT
A909	kayahlidigitnine	KAYAH LI DIGIT NINE
A90A	kayahliletterka	KAYAH LI LETTER KA
A90B	kayahliletterkha	KAYAH LI LETTER KHA
A90C	kayahliletterga	KAYAH LI LETTER GA
A90D	kayahliletternga	KAYAH LI LETTER NGA
A90E	kayahlilettersa	KAYAH LI LETTER SA
A90F	kayahlilettersha	KAYAH LI LETTER SHA
A910	kayahliletterza	KAYAH LI LETTER ZA
A911	kayahliletternya	KAYAH LI LETTER NYA
A912	kayahliletterta	KAYAH LI LETTER TA
A913	kayahliletterhta	KAYAH LI LETTER HTA
A914	kayahliletterna	KAYAH LI LETTER NA
A915	kayahliletterpa	KAYAH LI LETTER PA
A916	kayahliletterpha	KAYAH LI LETTER PHA
A917	kayahliletterma	KAYAH LI LETTER MA
A918	kayahliletterda	KAYAH LI LETTER DA
A919	kayahliletterba	KAYAH LI LETTER BA
A91A	kayahliletterra	KAYAH LI LETTER RA
A91B	kayahliletterya	KAYAH LI LETTER YA
A91C	kayahliletterla	KAYAH LI LETTER LA
A91D	kayahliletterwa	KAYAH LI LETTER WA
A91E	kayahlilettertha	KAYAH LI LETTER THA
A91F	kayahliletterha	KAYAH LI LETTER HA
A920	kayahliletterva	KAYAH LI LETTER VA
A921	kayahliletterca	KAYAH LI LETTER CA
A922	kayahlilettera	KAYAH LI LETTER A
A923	kayahliletteroe	KAYAH LI LETTER OE
A924	kayahliletteri	KAYAH LI LETTER I
A925	kayahliletteroo	KAYAH LI LETTER OO
A926	kayahlivowelue	KAYAH LI VOWEL UE
A927	kayahlivowele	KAYAH LI VOWEL E
A928	kayahlivowelu	KAYAH LI VOWEL U
A929	kayahlivowelee	KAYAH LI VOWEL EE
A92A	kayahlivowelo	KAYAH LI VOWEL O
A92B	kayahlitoneplophu	KAYAH LI TONE PLOPHU
A92C	kayahlitonecalya	KAYAH LI TONE CALYA
A92D	kayahlitonecalyaplophu	KAYAH LI TONE CALYA PLOPHU
A92E	kayahlisigncwi	KAYAH LI SIGN CWI
A92F	kayahlisignshya	KAYAH LI SIGN SHYA
