# Lycian 10280 - 1029F
10280	lycianlettera	LYCIAN LETTER A
10281	lycianlettere	LYCIAN LETTER E
10282	lycianletterb	LYCIAN LETTER B
10283	lycianletterbh	LYCIAN LETTER BH
10284	lycianletterg	LYCIAN LETTER G
10285	lycianletterd	LYCIAN LETTER D
10286	lycianletteri	LYCIAN LETTER I
10287	lycianletterw	LYCIAN LETTER W
10288	lycianletterz	LYCIAN LETTER Z
10289	lycianletterth	LYCIAN LETTER TH
1028A	lycianletterj	LYCIAN LETTER J
1028B	lycianletterk	LYCIAN LETTER K
1028C	lycianletterq	LYCIAN LETTER Q
1028D	lycianletterl	LYCIAN LETTER L
1028E	lycianletterm	LYCIAN LETTER M
1028F	lycianlettern	LYCIAN LETTER N
10290	lycianlettermm	LYCIAN LETTER MM
10291	lycianletternn	LYCIAN LETTER NN
10292	lycianletteru	LYCIAN LETTER U
10293	lycianletterp	LYCIAN LETTER P
10294	lycianletterkk	LYCIAN LETTER KK
10295	lycianletterr	LYCIAN LETTER R
10296	lycianletters	LYCIAN LETTER S
10297	lycianlettert	LYCIAN LETTER T
10298	lycianlettertt	LYCIAN LETTER TT
10299	lycianletteran	LYCIAN LETTER AN
1029A	lycianletteren	LYCIAN LETTER EN
1029B	lycianletterh	LYCIAN LETTER H
1029C	lycianletterx	LYCIAN LETTER X
