# Lydian 10920 - 1093F
10920	lydianlettera	LYDIAN LETTER A
10921	lydianletterb	LYDIAN LETTER B
10922	lydianletterg	LYDIAN LETTER G
10923	lydianletterd	LYDIAN LETTER D
10924	lydianlettere	LYDIAN LETTER E
10925	lydianletterv	LYDIAN LETTER V
10926	lydianletteri	LYDIAN LETTER I
10927	lydianlettery	LYDIAN LETTER Y
10928	lydianletterk	LYDIAN LETTER K
10929	lydianletterl	LYDIAN LETTER L
1092A	lydianletterm	LYDIAN LETTER M
1092B	lydianlettern	LYDIAN LETTER N
1092C	lydianlettero	LYDIAN LETTER O
1092D	lydianletterr	LYDIAN LETTER R
1092E	lydianletterss	LYDIAN LETTER SS
1092F	lydianlettert	LYDIAN LETTER T
10930	lydianletteru	LYDIAN LETTER U
10931	lydianletterf	LYDIAN LETTER F
10932	lydianletterq	LYDIAN LETTER Q
10933	lydianletters	LYDIAN LETTER S
10934	lydianlettertt	LYDIAN LETTER TT
10935	lydianletteran	LYDIAN LETTER AN
10936	lydianletteren	LYDIAN LETTER EN
10937	lydianletterly	LYDIAN LETTER LY
10938	lydianletternn	LYDIAN LETTER NN
10939	lydianletterc	LYDIAN LETTER C
1093F	lydiantriangularmark	LYDIAN TRIANGULAR MARK
