# Mathematical Alphanumeric Symbols 1D400 - 1D7FF
1D400	mathematicalboldcapitala	MATHEMATICAL BOLD CAPITAL A
1D401	mathematicalboldcapitalb	MATHEMATICAL BOLD CAPITAL B
1D402	mathematicalboldcapitalc	MATHEMATICAL BOLD CAPITAL C
1D403	mathematicalboldcapitald	MATHEMATICAL BOLD CAPITAL D
1D404	mathematicalboldcapitale	MATHEMATICAL BOLD CAPITAL E
1D405	mathematicalboldcapitalf	MATHEMATICAL BOLD CAPITAL F
1D406	mathematicalboldcapitalg	MATHEMATICAL BOLD CAPITAL G
1D407	mathematicalboldcapitalh	MATHEMATICAL BOLD CAPITAL H
1D408	mathematicalboldcapitali	MATHEMATICAL BOLD CAPITAL I
1D409	mathematicalboldcapitalj	MATHEMATICAL BOLD CAPITAL J
1D40A	mathematicalboldcapitalk	MATHEMATICAL BOLD CAPITAL K
1D40B	mathematicalboldcapitall	MATHEMATICAL BOLD CAPITAL L
1D40C	mathematicalboldcapitalm	MATHEMATICAL BOLD CAPITAL M
1D40D	mathematicalboldcapitaln	MATHEMATICAL BOLD CAPITAL N
1D40E	mathematicalboldcapitalo	MATHEMATICAL BOLD CAPITAL O
1D40F	mathematicalboldcapitalp	MATHEMATICAL BOLD CAPITAL P
1D410	mathematicalboldcapitalq	MATHEMATICAL BOLD CAPITAL Q
1D411	mathematicalboldcapitalr	MATHEMATICAL BOLD CAPITAL R
1D412	mathematicalboldcapitals	MATHEMATICAL BOLD CAPITAL S
1D413	mathematicalboldcapitalt	MATHEMATICAL BOLD CAPITAL T
1D414	mathematicalboldcapitalu	MATHEMATICAL BOLD CAPITAL U
1D415	mathematicalboldcapitalv	MATHEMATICAL BOLD CAPITAL V
1D416	mathematicalboldcapitalw	MATHEMATICAL BOLD CAPITAL W
1D417	mathematicalboldcapitalx	MATHEMATICAL BOLD CAPITAL X
1D418	mathematicalboldcapitaly	MATHEMATICAL BOLD CAPITAL Y
1D419	mathematicalboldcapitalz	MATHEMATICAL BOLD CAPITAL Z
1D41A	mathematicalboldsmalla	MATHEMATICAL BOLD SMALL A
1D41B	mathematicalboldsmallb	MATHEMATICAL BOLD SMALL B
