# Miscellaneous Mathematical Symbols-B 2980 - 29FF
2980	tripleverticalbardelimiter	TRIPLE VERTICAL BAR DELIMITER
2981	znotationspot	Z NOTATION SPOT
2982	znotationtypecolon	Z NOTATION TYPE COLON
2983	leftwhitecurlybracket	LEFT WHITE CURLY BRACKET
2984	rightwhitecurlybracket	RIGHT WHITE CURLY BRACKET
2985	misc-leftwhiteparenthesis	LEFT WHITE PARENTHESIS
2986	misc-rightwhiteparenthesis	RIGHT WHITE PARENTHESIS
2987	znotationleftimagebracket	Z NOTATION LEFT IMAGE BRACKET
2988	znotationrightimagebracket	Z NOTATION RIGHT IMAGE BRACKET
2989	znotationleftbindingbracket	Z NOTATION LEFT BINDING BRACKET
298A	znotationrightbindingbracket	Z NOTATION RIGHT BINDING BRACKET
298B	leftsquarebracketwithunderbar	LEFT SQUARE BRACKET WITH UNDERBAR
298C	rightsquarebracketwithunderbar	RIGHT SQUARE BRACKET WITH UNDERBAR
298D	leftsquarebracketwithtickintopcorner	LEFT SQUARE BRACKET WITH TICK IN TOP CORNER
298E	rightsquarebracketwithtickinbottomcorner	RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
298F	leftsquarebracketwithtickinbottomcorner	LEFT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
2990	rightsquarebracketwithtickintopcorner	RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER
2991	leftanglebracketwithdot	LEFT ANGLE BRACKET WITH DOT
2992	rightanglebracketwithdot	RIGHT ANGLE BRACKET WITH DOT
2993	leftarclessthanbracket	LEFT ARC LESS-THAN BRACKET
2994	rightarcgreaterthanbracket	RIGHT ARC GREATER-THAN BRACKET
2995	doubleleftarcgreaterthanbracket	DOUBLE LEFT ARC GREATER-THAN BRACKET
2996	doublerightarclessthanbracket	DOUBLE RIGHT ARC LESS-THAN BRACKET
2997	leftblacktortoiseshellbracket	LEFT BLACK TORTOISE SHELL BRACKET
2998	rightblacktortoiseshellbracket	RIGHT BLACK TORTOISE SHELL BRACKET
2999	dottedfence	DOTTED FENCE
299A	verticalzigzagline	VERTICAL ZIGZAG LINE
299B	measuredangleopeningleft	MEASURED ANGLE OPENING LEFT
299C	rightanglevariantwithsquare	RIGHT ANGLE VARIANT WITH SQUARE
299D	measuredrightanglewithdot	MEASURED RIGHT ANGLE WITH DOT
299E	anglewithsinside	ANGLE WITH S INSIDE
299F	acuteangle	ACUTE ANGLE
