# Musical Symbols 1D100 - 1D1FF
1D100	musicalsymbolsinglebarline	MUSICAL SYMBOL SINGLE BARLINE
1D101	musicalsymboldoublebarline	MUSICAL SYMBOL DOUBLE BARLINE
1D102	musicalsymbolfinalbarline	MUSICAL SYMBOL FINAL BARLINE
1D103	musicalsymbolreversefinalbarline	MUSICAL SYMBOL REVERSE FINAL BARLINE
1D104	musicalsymboldashedbarline	MUSICAL SYMBOL DASHED BARLINE
1D105	musicalsymbolshortbarline	MUSICAL SYMBOL SHORT BARLINE
1D106	musicalsymbolleftrepeatsign	MUSICAL SYMBOL LEFT REPEAT SIGN
1D107	musicalsymbolrightrepeatsign	MUSICAL SYMBOL RIGHT REPEAT SIGN
1D108	musicalsymbolrepeatdots	MUSICAL SYMBOL REPEAT DOTS
1D109	musicalsymboldalsegno	MUSICAL SYMBOL DAL SEGNO
1D10A	musicalsymboldacapo	MUSICAL SYMBOL DA CAPO
1D10B	musicalsymbolsegno	MUSICAL SYMBOL SEGNO
1D10C	musicalsymbolcoda	MUSICAL SYMBOL CODA
1D10D	musicalsymbolrepeatedfigure1	MUSICAL SYMBOL REPEATED FIGURE-1
1D10E	musicalsymbolrepeatedfigure2	MUSICAL SYMBOL REPEATED FIGURE-2
1D10F	musicalsymbolrepeatedfigure3	MUSICAL SYMBOL REPEATED FIGURE-3
1D110	musicalsymbolfermata	MUSICAL SYMBOL FERMATA
1D111	musicalsymbolfermatabelow	MUSICAL SYMBOL FERMATA BELOW
1D112	musicalsymbolbreathmark	MUSICAL SYMBOL BREATH MARK
1D113	musicalsymbolcaesura	MUSICAL SYMBOL CAESURA
1D114	musicalsymbolbrace	MUSICAL SYMBOL BRACE
1D115	musicalsymbolbracket	MUSICAL SYMBOL BRACKET
1D116	musicalsymbolonelinestaff	MUSICAL SYMBOL ONE-LINE STAFF
1D117	musicalsymboltwolinestaff	MUSICAL SYMBOL TWO-LINE STAFF
1D118	musicalsymbolthreelinestaff	MUSICAL SYMBOL THREE-LINE STAFF
1D119	musicalsymbolfourlinestaff	MUSICAL SYMBOL FOUR-LINE STAFF
1D11A	musicalsymbolfivelinestaff	MUSICAL SYMBOL FIVE-LINE STAFF
1D11B	musicalsymbolsixlinestaff	MUSICAL SYMBOL SIX-LINE STAFF
1D11C	musicalsymbolsixstringfretboard	MUSICAL SYMBOL SIX-STRING FRETBOARD
1D11D	musicalsymbolfourstringfretboard	MUSICAL SYMBOL FOUR-STRING FRETBOARD
1D11E	musicalsymbolgclef	MUSICAL SYMBOL G CLEF
1D11F	musicalsymbolgclefottavaalta	MUSICAL SYMBOL G CLEF OTTAVA ALTA
1D120	musicalsymbolgclefottavabassa	MUSICAL SYMBOL G CLEF OTTAVA BASSA
1D121	musicalsymbolcclef	MUSICAL SYMBOL C CLEF
1D122	musicalsymbolfclef	MUSICAL SYMBOL F CLEF
1D123	musicalsymbolfclefottavaalta	MUSICAL SYMBOL F CLEF OTTAVA ALTA
1D124	musicalsymbolfclefottavabassa	MUSICAL SYMBOL F CLEF OTTAVA BASSA
1D125	musicalsymboldrumclef1	MUSICAL SYMBOL DRUM CLEF-1
1D126	musicalsymboldrumclef2	MUSICAL SYMBOL DRUM CLEF-2
1D129	musicalsymbolmultiplemeasurerest	MUSICAL SYMBOL MULTIPLE MEASURE REST
1D12A	musicalsymboldoublesharp	MUSICAL SYMBOL DOUBLE SHARP
1D12B	musicalsymboldoubleflat	MUSICAL SYMBOL DOUBLE FLAT
1D12C	musicalsymbolflatup	MUSICAL SYMBOL FLAT UP
1D12D	musicalsymbolflatdown	MUSICAL SYMBOL FLAT DOWN
1D12E	musicalsymbolnaturalup	MUSICAL SYMBOL NATURAL UP
1D12F	musicalsymbolnaturaldown	MUSICAL SYMBOL NATURAL DOWN
1D130	musicalsymbolsharpup	MUSICAL SYMBOL SHARP UP
1D131	musicalsymbolsharpdown	MUSICAL SYMBOL SHARP DOWN
1D132	musicalsymbolquartertonesharp	MUSICAL SYMBOL QUARTER TONE SHARP
1D133	musicalsymbolquartertoneflat	MUSICAL SYMBOL QUARTER TONE FLAT
1D134	musicalsymbolcommontime	MUSICAL SYMBOL COMMON TIME
1D135	musicalsymbolcuttime	MUSICAL SYMBOL CUT TIME
1D136	musicalsymbolottavaalta	MUSICAL SYMBOL OTTAVA ALTA
1D137	musicalsymbolottavabassa	MUSICAL SYMBOL OTTAVA BASSA
1D138	musicalsymbolquindicesimaalta	MUSICAL SYMBOL QUINDICESIMA ALTA
1D139	musicalsymbolquindicesimabassa	MUSICAL SYMBOL QUINDICESIMA BASSA
1D13A	musicalsymbolmultirest	MUSICAL SYMBOL MULTI REST
1D13B	musicalsymbolwholerest	MUSICAL SYMBOL WHOLE REST
1D13C	musicalsymbolhalfrest	MUSICAL SYMBOL HALF REST
1D13D	musicalsymbolquarterrest	MUSICAL SYMBOL QUARTER REST
1D13E	musicalsymboleighthrest	MUSICAL SYMBOL EIGHTH REST
1D13F	musicalsymbolsixteenthrest	MUSICAL SYMBOL SIXTEENTH REST
1D140	musicalsymbolthirtysecondrest	MUSICAL SYMBOL THIRTY-SECOND REST
1D141	musicalsymbolsixtyfourthrest	MUSICAL SYMBOL SIXTY-FOURTH REST
1D142	musicalsymbolonehundredtwentyeighthrest	MUSICAL SYMBOL ONE HUNDRED TWENTY-EIGHTH REST
1D143	musicalsymbolxnotehead	MUSICAL SYMBOL X NOTEHEAD
1D144	musicalsymbolplusnotehead	MUSICAL SYMBOL PLUS NOTEHEAD
1D145	musicalsymbolcirclexnotehead	MUSICAL SYMBOL CIRCLE X NOTEHEAD
1D146	musicalsymbolsquarenoteheadwhite	MUSICAL SYMBOL SQUARE NOTEHEAD WHITE
1D147	musicalsymbolsquarenoteheadblack	MUSICAL SYMBOL SQUARE NOTEHEAD BLACK
1D148	musicalsymboltrianglenoteheadupwhite	MUSICAL SYMBOL TRIANGLE NOTEHEAD UP WHITE
1D149	musicalsymboltrianglenoteheadupblack	MUSICAL SYMBOL TRIANGLE NOTEHEAD UP BLACK
1D14A	musicalsymboltrianglenoteheadleftwhite	MUSICAL SYMBOL TRIANGLE NOTEHEAD LEFT WHITE
1D14B	musicalsymboltrianglenoteheadleftblack	MUSICAL SYMBOL TRIANGLE NOTEHEAD LEFT BLACK
