# Ogham 1680 - 169F
1680	oghamspacemark	OGHAM SPACE MARK
1681	oghamletterbeith	OGHAM LETTER BEITH
1682	oghamletterluis	OGHAM LETTER LUIS
1683	oghamletterfearn	OGHAM LETTER FEARN
1684	oghamlettersail	OGHAM LETTER SAIL
1685	oghamletternion	OGHAM LETTER NION
1686	oghamletteruath	OGHAM LETTER UATH
1687	oghamletterdair	OGHAM LETTER DAIR
1688	oghamlettertinne	OGHAM LETTER TINNE
1689	oghamlettercoll	OGHAM LETTER COLL
168A	oghamletterceirt	OGHAM LETTER CEIRT
168B	oghamlettermuin	OGHAM LETTER MUIN
168C	oghamlettergort	OGHAM LETTER GORT
168D	oghamletterngeadal	OGHAM LETTER NGEADAL
168E	oghamletterstraif	OGHAM LETTER STRAIF
168F	oghamletterruis	OGHAM LETTER RUIS
1690	oghamletterailm	OGHAM LETTER AILM
1691	oghamletteronn	OGHAM LETTER ONN
1692	oghamletterur	OGHAM LETTER UR
1693	oghamlettereadhadh	OGHAM LETTER EADHADH
1694	oghamletteriodhadh	OGHAM LETTER IODHADH
1695	oghamlettereabhadh	OGHAM LETTER EABHADH
1696	oghamletteror	OGHAM LETTER OR
1697	oghamletteruilleann	OGHAM LETTER UILLEANN
1698	oghamletterifin	OGHAM LETTER IFIN
1699	oghamlettereamhancholl	OGHAM LETTER EAMHANCHOLL
169A	oghamletterpeith	OGHAM LETTER PEITH
169B	oghamfeathermark	OGHAM FEATHER MARK
169C	oghamreversedfeathermark	OGHAM REVERSED FEATHER MARK
