# Old Italic 10300 - 1032F
10300	olditaliclettera	OLD ITALIC LETTER A
10301	olditalicletterbe	OLD ITALIC LETTER BE
10302	olditalicletterke	OLD ITALIC LETTER KE
10303	olditalicletterde	OLD ITALIC LETTER DE
10304	olditaliclettere	OLD ITALIC LETTER E
10305	olditalicletterve	OLD ITALIC LETTER VE
10306	olditalicletterze	OLD ITALIC LETTER ZE
10307	olditalicletterhe	OLD ITALIC LETTER HE
10308	olditalicletterthe	OLD ITALIC LETTER THE
10309	olditalicletteri	OLD ITALIC LETTER I
1030A	olditalicletterka	OLD ITALIC LETTER KA
1030B	olditalicletterel	OLD ITALIC LETTER EL
1030C	olditalicletterem	OLD ITALIC LETTER EM
1030D	olditalicletteren	OLD ITALIC LETTER EN
1030E	olditalicletteresh	OLD ITALIC LETTER ESH
1030F	olditaliclettero	OLD ITALIC LETTER O
10310	olditalicletterpe	OLD ITALIC LETTER PE
10311	olditaliclettershe	OLD ITALIC LETTER SHE
10312	olditalicletterku	OLD ITALIC LETTER KU
10313	olditalicletterer	OLD ITALIC LETTER ER
10314	olditalicletteres	OLD ITALIC LETTER ES
10315	olditalicletterte	OLD ITALIC LETTER TE
10316	olditalicletteru	OLD ITALIC LETTER U
10317	olditaliclettereks	OLD ITALIC LETTER EKS
10318	olditalicletterphe	OLD ITALIC LETTER PHE
10319	olditalicletterkhe	OLD ITALIC LETTER KHE
1031A	olditalicletteref	OLD ITALIC LETTER EF
1031B	olditalicletterers	OLD ITALIC LETTER ERS
1031C	olditalicletterche	OLD ITALIC LETTER CHE
1031D	olditalicletterii	OLD ITALIC LETTER II
1031E	olditalicletteruu	OLD ITALIC LETTER UU
10320	olditalicnumeralone	OLD ITALIC NUMERAL ONE
10321	olditalicnumeralfive	OLD ITALIC NUMERAL FIVE
10322	olditalicnumeralten	OLD ITALIC NUMERAL TEN
10323	olditalicnumeralfifty	OLD ITALIC NUMERAL FIFTY
