# Old Persian 103A0 - 103DF
103A0	oldpersiansigna	OLD PERSIAN SIGN A
103A1	oldpersiansigni	OLD PERSIAN SIGN I
103A2	oldpersiansignu	OLD PERSIAN SIGN U
103A3	oldpersiansignka	OLD PERSIAN SIGN KA
103A4	oldpersiansignku	OLD PERSIAN SIGN KU
103A5	oldpersiansignga	OLD PERSIAN SIGN GA
103A6	oldpersiansigngu	OLD PERSIAN SIGN GU
103A7	oldpersiansignxa	OLD PERSIAN SIGN XA
103A8	oldpersiansignca	OLD PERSIAN SIGN CA
103A9	oldpersiansignja	OLD PERSIAN SIGN JA
103AA	oldpersiansignji	OLD PERSIAN SIGN JI
103AB	oldpersiansignta	OLD PERSIAN SIGN TA
103AC	oldpersiansigntu	OLD PERSIAN SIGN TU
103AD	oldpersiansignda	OLD PERSIAN SIGN DA
103AE	oldpersiansigndi	OLD PERSIAN SIGN DI
103AF	oldpersiansigndu	OLD PERSIAN SIGN DU
103B0	oldpersiansigntha	OLD PERSIAN SIGN THA
103B1	oldpersiansignpa	OLD PERSIAN SIGN PA
103B2	oldpersiansignba	OLD PERSIAN SIGN BA
103B3	oldpersiansignfa	OLD PERSIAN SIGN FA
103B4	oldpersiansignna	OLD PERSIAN SIGN NA
103B5	oldpersiansignnu	OLD PERSIAN SIGN NU
103B6	oldpersiansignma	OLD PERSIAN SIGN MA
103B7	oldpersiansignmi	OLD PERSIAN SIGN MI
103B8	oldpersiansignmu	OLD PERSIAN SIGN MU
103B9	oldpersiansignya	OLD PERSIAN SIGN YA
103BA	oldpersiansignva	OLD PERSIAN SIGN VA
103BB	oldpersiansignvi	OLD PERSIAN SIGN VI
103BC	oldpersiansignra	OLD PERSIAN SIGN RA
103BD	oldpersiansignru	OLD PERSIAN SIGN RU
103BE	oldpersiansignla	OLD PERSIAN SIGN LA
103BF	oldpersiansignsa	OLD PERSIAN SIGN SA
103C0	oldpersiansignza	OLD PERSIAN SIGN ZA
103C1	oldpersiansignsha	OLD PERSIAN SIGN SHA
103C2	oldpersiansignssa	OLD PERSIAN SIGN SSA
103C3	oldpersiansignha	OLD PERSIAN SIGN HA
103C8	oldpersiansignauramazdaa	OLD PERSIAN SIGN AURAMAZDAA
103C9	oldpersiansignauramazdaa2	OLD PERSIAN SIGN AURAMAZDAA-2
103CA	oldpersiansignauramazdaaha	OLD PERSIAN SIGN AURAMAZDAAHA
103CB	oldpersiansignxshaayathiya	OLD PERSIAN SIGN XSHAAYATHIYA
103CC	oldpersiansigndahyaaush	OLD PERSIAN SIGN DAHYAAUSH
103CD	oldpersiansigndahyaaush2	OLD PERSIAN SIGN DAHYAAUSH-2
103CE	oldpersiansignbaga	OLD PERSIAN SIGN BAGA
103CF	oldpersiansignbuumish	OLD PERSIAN SIGN BUUMISH
103D0	oldpersianworddivider	OLD PERSIAN WORD DIVIDER
103D1	oldpersiannumberone	OLD PERSIAN NUMBER ONE
103D2	oldpersiannumbertwo	OLD PERSIAN NUMBER TWO
103D3	oldpersiannumberten	OLD PERSIAN NUMBER TEN
103D4	oldpersiannumbertwenty	OLD PERSIAN NUMBER TWENTY
103D5	oldpersiannumberhundred	OLD PERSIAN NUMBER HUNDRED
