# Osmanya 10480 - 104AF
10480	osmanyaletteralef	OSMANYA LETTER ALEF
10481	osmanyaletterba	OSMANYA LETTER BA
10482	osmanyaletterta	OSMANYA LETTER TA
10483	osmanyaletterja	OSMANYA LETTER JA
10484	osmanyaletterxa	OSMANYA LETTER XA
10485	osmanyaletterkha	OSMANYA LETTER KHA
10486	osmanyaletterdeel	OSMANYA LETTER DEEL
10487	osmanyaletterra	OSMANYA LETTER RA
10488	osmanyalettersa	OSMANYA LETTER SA
10489	osmanyalettershiin	OSMANYA LETTER SHIIN
1048A	osmanyaletterdha	OSMANYA LETTER DHA
1048B	osmanyalettercayn	OSMANYA LETTER CAYN
1048C	osmanyaletterga	OSMANYA LETTER GA
1048D	osmanyaletterfa	OSMANYA LETTER FA
1048E	osmanyaletterqaaf	OSMANYA LETTER QAAF
1048F	osmanyaletterkaaf	OSMANYA LETTER KAAF
10490	osmanyaletterlaan	OSMANYA LETTER LAAN
10491	osmanyalettermiin	OSMANYA LETTER MIIN
10492	osmanyaletternuun	OSMANYA LETTER NUUN
10493	osmanyaletterwaw	OSMANYA LETTER WAW
10494	osmanyaletterha	OSMANYA LETTER HA
10495	osmanyaletterya	OSMANYA LETTER YA
10496	osmanyalettera	OSMANYA LETTER A
10497	osmanyalettere	OSMANYA LETTER E
10498	osmanyaletteri	OSMANYA LETTER I
10499	osmanyalettero	OSMANYA LETTER O
1049A	osmanyaletteru	OSMANYA LETTER U
1049B	osmanyaletteraa	OSMANYA LETTER AA
1049C	osmanyaletteree	OSMANYA LETTER EE
1049D	osmanyaletteroo	OSMANYA LETTER OO
104A0	osmanyadigitzero	OSMANYA DIGIT ZERO
104A1	osmanyadigitone	OSMANYA DIGIT ONE
104A2	osmanyadigittwo	OSMANYA DIGIT TWO
104A3	osmanyadigitthree	OSMANYA DIGIT THREE
104A4	osmanyadigitfour	OSMANYA DIGIT FOUR
104A5	osmanyadigitfive	OSMANYA DIGIT FIVE
104A6	osmanyadigitsix	OSMANYA DIGIT SIX
104A7	osmanyadigitseven	OSMANYA DIGIT SEVEN
104A8	osmanyadigiteight	OSMANYA DIGIT EIGHT
104A9	osmanyadigitnine	OSMANYA DIGIT NINE
