# Phoenician 10900 - 1091F
10900	phoenicianletteralf	PHOENICIAN LETTER ALF
10901	phoenicianletterbet	PHOENICIAN LETTER BET
10902	phoenicianlettergaml	PHOENICIAN LETTER GAML
10903	phoenicianletterdelt	PHOENICIAN LETTER DELT
10904	phoenicianletterhe	PHOENICIAN LETTER HE
10905	phoenicianletterwau	PHOENICIAN LETTER WAU
10906	phoenicianletterzai	PHOENICIAN LETTER ZAI
10907	phoenicianletterhet	PHOENICIAN LETTER HET
10908	phoenicianlettertet	PHOENICIAN LETTER TET
10909	phoenicianletteryod	PHOENICIAN LETTER YOD
1090A	phoenicianletterkaf	PHOENICIAN LETTER KAF
1090B	phoenicianletterlamd	PHOENICIAN LETTER LAMD
1090C	phoenicianlettermem	PHOENICIAN LETTER MEM
1090D	phoenicianletternun	PHOENICIAN LETTER NUN
1090E	phoenicianlettersemk	PHOENICIAN LETTER SEMK
1090F	phoenicianletterain	PHOENICIAN LETTER AIN
10910	phoenicianletterpe	PHOENICIAN LETTER PE
10911	phoenicianlettersade	PHOENICIAN LETTER SADE
10912	phoenicianletterqof	PHOENICIAN LETTER QOF
10913	phoenicianletterrosh	PHOENICIAN LETTER ROSH
10914	phoenicianlettershin	PHOENICIAN LETTER SHIN
10915	phoenicianlettertau	PHOENICIAN LETTER TAU
10916	phoeniciannumberone	PHOENICIAN NUMBER ONE
10917	phoeniciannumberten	PHOENICIAN NUMBER TEN
10918	phoeniciannumbertwenty	PHOENICIAN NUMBER TWENTY
10919	phoeniciannumberonehundred	PHOENICIAN NUMBER ONE HUNDRED
1091A	phoeniciannumbertwo	PHOENICIAN NUMBER TWO
1091B	phoeniciannumberthree	PHOENICIAN NUMBER THREE
1091F	phoenicianwordseparator	PHOENICIAN WORD SEPARATOR
