# Shavian 10450 - 1047F
10450	shavianletterpeep	SHAVIAN LETTER PEEP
10451	shavianlettertot	SHAVIAN LETTER TOT
10452	shavianletterkick	SHAVIAN LETTER KICK
10453	shavianletterfee	SHAVIAN LETTER FEE
10454	shavianletterthigh	SHAVIAN LETTER THIGH
10455	shavianletterso	SHAVIAN LETTER SO
10456	shavianlettersure	SHAVIAN LETTER SURE
10457	shavianletterchurch	SHAVIAN LETTER CHURCH
10458	shavianletteryea	SHAVIAN LETTER YEA
10459	shavianletterhung	SHAVIAN LETTER HUNG
1045A	shavianletterbib	SHAVIAN LETTER BIB
1045B	shavianletterdead	SHAVIAN LETTER DEAD
1045C	shavianlettergag	SHAVIAN LETTER GAG
1045D	shavianlettervow	SHAVIAN LETTER VOW
1045E	shavianletterthey	SHAVIAN LETTER THEY
1045F	shavianletterzoo	SHAVIAN LETTER ZOO
10460	shavianlettermeasure	SHAVIAN LETTER MEASURE
10461	shavianletterjudge	SHAVIAN LETTER JUDGE
10462	shavianletterwoe	SHAVIAN LETTER WOE
10463	shavianletterhaha	SHAVIAN LETTER HA-HA
10464	shavianletterloll	SHAVIAN LETTER LOLL
10465	shavianlettermime	SHAVIAN LETTER MIME
10466	shavianletterif	SHAVIAN LETTER IF
10467	shavianletteregg	SHAVIAN LETTER EGG
10468	shavianletterash	SHAVIAN LETTER ASH
10469	shavianletterado	SHAVIAN LETTER ADO
1046A	shavianletteron	SHAVIAN LETTER ON
1046B	shavianletterwool	SHAVIAN LETTER WOOL
1046C	shavianletterout	SHAVIAN LETTER OUT
1046D	shavianletterah	SHAVIAN LETTER AH
1046E	shavianletterroar	SHAVIAN LETTER ROAR
1046F	shavianletternun	SHAVIAN LETTER NUN
10470	shavianlettereat	SHAVIAN LETTER EAT
10471	shavianletterage	SHAVIAN LETTER AGE
10472	shavianletterice	SHAVIAN LETTER ICE
10473	shavianletterup	SHAVIAN LETTER UP
10474	shavianletteroak	SHAVIAN LETTER OAK
10475	shavianletterooze	SHAVIAN LETTER OOZE
10476	shavianletteroil	SHAVIAN LETTER OIL
10477	shavianletterawe	SHAVIAN LETTER AWE
10478	shavianletterare	SHAVIAN LETTER ARE
10479	shavianletteror	SHAVIAN LETTER OR
1047A	shavianletterair	SHAVIAN LETTER AIR
1047B	shavianlettererr	SHAVIAN LETTER ERR
1047C	shavianletterarray	SHAVIAN LETTER ARRAY
1047D	shavianletterear	SHAVIAN LETTER EAR
1047E	shavianletterian	SHAVIAN LETTER IAN
1047F	shavianletteryew	SHAVIAN LETTER YEW
