# Sinhala 0D80 - 0DFF
0D82	sinh-anusvaraya	SINHALA SIGN ANUSVARAYA
0D83	sinh-visargaya	SINHALA SIGN VISARGAYA
0D85	sinh-ayanna	SINHALA LETTER AYANNA
0D86	sinh-aayanna	SINHALA LETTER AAYANNA
0D87	sinh-aeyanna	SINHALA LETTER AEYANNA
0D88	sinh-aeeyanna	SINHALA LETTER AEEYANNA
0D89	sinh-iyanna	SINHALA LETTER IYANNA
0D8A	sinh-iiyanna	SINHALA LETTER IIYANNA
0D8B	sinh-uyanna	SINHALA LETTER UYANNA
0D8C	sinh-uuyanna	SINHALA LETTER UUYANNA
0D8D	sinh-iruyanna	SINHALA LETTER IRUYANNA
0D8E	sinh-iruuyanna	SINHALA LETTER IRUUYANNA
0D8F	sinh-iluyanna	SINHALA LETTER ILUYANNA
0D90	sinh-iluuyanna	SINHALA LETTER ILUUYANNA
0D91	sinh-eyanna	SINHALA LETTER EYANNA
0D92	sinh-eeyanna	SINHALA LETTER EEYANNA
0D93	sinh-aiyanna	SINHALA LETTER AIYANNA
0D94	sinh-oyanna	SINHALA LETTER OYANNA
0D95	sinh-ooyanna	SINHALA LETTER OOYANNA
0D96	sinh-auyanna	SINHALA LETTER AUYANNA
0D9A	sinh-alpapraanakayanna	SINHALA LETTER ALPAPRAANA KAYANNA
0D9B	sinh-mahaapraanakayanna	SINHALA LETTER MAHAAPRAANA KAYANNA
0D9C	sinh-alpapraanagayanna	SINHALA LETTER ALPAPRAANA GAYANNA
0D9D	sinh-mahaapraanagayanna	SINHALA LETTER MAHAAPRAANA GAYANNA
0D9E	sinh-kantajanaasikyaya	SINHALA LETTER KANTAJA NAASIKYAYA
0D9F	sinh-sanyakagayanna	SINHALA LETTER SANYAKA GAYANNA
0DA0	sinh-alpapraanacayanna	SINHALA LETTER ALPAPRAANA CAYANNA
0DA1	sinh-mahaapraanacayanna	SINHALA LETTER MAHAAPRAANA CAYANNA
0DA2	sinh-alpapraanajayanna	SINHALA LETTER ALPAPRAANA JAYANNA
0DA3	sinh-mahaapraanajayanna	SINHALA LETTER MAHAAPRAANA JAYANNA
0DA4	sinh-taalujanaasikyaya	SINHALA LETTER TAALUJA NAASIKYAYA
0DA5	sinh-taalujasanyooganaaksikyaya	SINHALA LETTER TAALUJA SANYOOGA NAAKSIKYAYA
0DA6	sinh-sanyakajayanna	SINHALA LETTER SANYAKA JAYANNA
0DA7	sinh-alpapraanattayanna	SINHALA LETTER ALPAPRAANA TTAYANNA
0DA8	sinh-mahaapraanattayanna	SINHALA LETTER MAHAAPRAANA TTAYANNA
0DA9	sinh-alpapraanaddayanna	SINHALA LETTER ALPAPRAANA DDAYANNA
0DAA	sinh-mahaapraanaddayanna	SINHALA LETTER MAHAAPRAANA DDAYANNA
0DAB	sinh-muurdhajanayanna	SINHALA LETTER MUURDHAJA NAYANNA
0DAC	sinh-sanyakaddayanna	SINHALA LETTER SANYAKA DDAYANNA
0DAD	sinh-alpapraanatayanna	SINHALA LETTER ALPAPRAANA TAYANNA
0DAE	sinh-mahaapraanatayanna	SINHALA LETTER MAHAAPRAANA TAYANNA
0DAF	sinh-alpapraanadayanna	SINHALA LETTER ALPAPRAANA DAYANNA
0DB0	sinh-mahaapraanadayanna	SINHALA LETTER MAHAAPRAANA DAYANNA
0DB1	sinh-dantajanayanna	SINHALA LETTER DANTAJA NAYANNA
0DB3	sinh-sanyakadayanna	SINHALA LETTER SANYAKA DAYANNA
0DB4	sinh-alpapraanapayanna	SINHALA LETTER ALPAPRAANA PAYANNA
0DB5	sinh-mahaapraanapayanna	SINHALA LETTER MAHAAPRAANA PAYANNA
0DB6	sinh-alpapraanabayanna	SINHALA LETTER ALPAPRAANA BAYANNA
0DB7	sinh-mahaapraanabayanna	SINHALA LETTER MAHAAPRAANA BAYANNA
0DB8	sinh-mayanna	SINHALA LETTER MAYANNA
0DB9	sinh-ambabayanna	SINHALA LETTER AMBA BAYANNA
0DBA	sinh-yayanna	SINHALA LETTER YAYANNA
0DBB	sinh-rayanna	SINHALA LETTER RAYANNA
0DBD	sinh-dantajalayanna	SINHALA LETTER DANTAJA LAYANNA
0DC0	sinh-vayanna	SINHALA LETTER VAYANNA
0DC1	sinh-taalujasayanna	SINHALA LETTER TAALUJA SAYANNA
0DC2	sinh-muurdhajasayanna	SINHALA LETTER MUURDHAJA SAYANNA
0DC3	sinh-dantajasayanna	SINHALA LETTER DANTAJA SAYANNA
0DC4	sinh-hayanna	SINHALA LETTER HAYANNA
0DC5	sinh-muurdhajalayanna	SINHALA LETTER MUURDHAJA LAYANNA
0DC6	sinh-fayanna	SINHALA LETTER FAYANNA
0DCA	sinh-allakuna	SINHALA SIGN AL-LAKUNA
0DCF	sinh-aelapilla	SINHALA VOWEL SIGN AELA-PILLA
0DD0	sinh-kettiaedapilla	SINHALA VOWEL SIGN KETTI AEDA-PILLA
0DD1	sinh-digaaedapilla	SINHALA VOWEL SIGN DIGA AEDA-PILLA
0DD2	sinh-kettiispilla	SINHALA VOWEL SIGN KETTI IS-PILLA
0DD3	sinh-digaispilla	SINHALA VOWEL SIGN DIGA IS-PILLA
0DD4	sinh-kettipaapilla	SINHALA VOWEL SIGN KETTI PAA-PILLA
0DD6	sinh-digapaapilla	SINHALA VOWEL SIGN DIGA PAA-PILLA
0DD8	sinh-gaettapilla	SINHALA VOWEL SIGN GAETTA-PILLA
0DD9	sinh-kombuva	SINHALA VOWEL SIGN KOMBUVA
0DDA	sinh-digakombuva	SINHALA VOWEL SIGN DIGA KOMBUVA
0DDB	sinh-kombudeka	SINHALA VOWEL SIGN KOMBU DEKA
0DDC	sinh-kombuvahaaaelapilla	SINHALA VOWEL SIGN KOMBUVA HAA AELA-PILLA
0DDD	sinh-kombuvahaadigaaelapilla	SINHALA VOWEL SIGN KOMBUVA HAA DIGA AELA-PILLA
0DDE	sinh-kombuvahaagayanukitta	SINHALA VOWEL SIGN KOMBUVA HAA GAYANUKITTA
0DDF	sinh-gayanukitta	SINHALA VOWEL SIGN GAYANUKITTA
0DF2	sinh-digagaettapilla	SINHALA VOWEL SIGN DIGA GAETTA-PILLA
0DF3	sinh-digagayanukitta	SINHALA VOWEL SIGN DIGA GAYANUKITTA
0DF4	sinh-punctuationkunddaliya	SINHALA PUNCTUATION KUNDDALIYA
