# Small Form Variants FE50 - FE6F
FE50	smll-comma	SMALL COMMA
FE51	smll-ideographiccomma	SMALL IDEOGRAPHIC COMMA
FE52	smll-period	SMALL FULL STOP
FE54	smll-semicolon	SMALL SEMICOLON
FE55	smll-colon	SMALL COLON
FE56	smll-question	SMALL QUESTION MARK
FE57	smll-exclam	SMALL EXCLAMATION MARK
FE58	smll-emdash	SMALL EM DASH
FE59	smll-parenthesisleft	SMALL LEFT PARENTHESIS
FE5A	smll-parenthesisright	SMALL RIGHT PARENTHESIS
FE5B	smll-braceleft	SMALL LEFT CURLY BRACKET
FE5C	smll-braceright	SMALL RIGHT CURLY BRACKET
FE5D	smll-tortoiseshellbracketleft	SMALL LEFT TORTOISE SHELL BRACKET
FE5E	smll-tortoiseshellbracketright	SMALL RIGHT TORTOISE SHELL BRACKET
FE5F	smll-numbersign	SMALL NUMBER SIGN
FE60	smll-ampersand	SMALL AMPERSAND
FE61	smll-asterisk	SMALL ASTERISK
FE62	smll-plus	SMALL PLUS SIGN
FE63	smll-hyphen	SMALL HYPHEN-MINUS
FE64	smll-less	SMALL LESS-THAN SIGN
FE65	smll-greater	SMALL GREATER-THAN SIGN
FE66	smll-equal	SMALL EQUALS SIGN
FE68	smll-backslash	SMALL REVERSE SOLIDUS
FE69	smll-dollar	SMALL DOLLAR SIGN
FE6A	smll-percent	SMALL PERCENT SIGN
FE6B	commercialat	SMALL COMMERCIAL AT
