# Supplemental Arrows-A 27F0 - 27FF
27F0	upwardsquadruplearrow	UPWARDS QUADRUPLE ARROW
27F1	downwardsquadruplearrow	DOWNWARDS QUADRUPLE ARROW
27F2	anticlockwisegappedcirclearrow	ANTICLOCKWISE GAPPED CIRCLE ARROW
27F3	clockwisegappedcirclearrow	CLOCKWISE GAPPED CIRCLE ARROW
27F4	rightarrowwithcircledplus	RIGHT ARROW WITH CIRCLED PLUS
27F5	longleftwardsarrow	LONG LEFTWARDS ARROW
27F6	longrightwardsarrow	LONG RIGHTWARDS ARROW
27F7	longleftrightarrow	LONG LEFT RIGHT ARROW
27F8	longleftwardsdoublearrow	LONG LEFTWARDS DOUBLE ARROW
27F9	longrightwardsdoublearrow	LONG RIGHTWARDS DOUBLE ARROW
27FA	longleftrightdoublearrow	LONG LEFT RIGHT DOUBLE ARROW
27FB	longleftwardsarrowfrombar	LONG LEFTWARDS ARROW FROM BAR
27FC	longrightwardsarrowfrombar	LONG RIGHTWARDS ARROW FROM BAR
27FD	longleftwardsdoublearrowfrombar	LONG LEFTWARDS DOUBLE ARROW FROM BAR
27FE	longrightwardsdoublearrowfrombar	LONG RIGHTWARDS DOUBLE ARROW FROM BAR
27FF	longrightwardssquigglearrow	LONG RIGHTWARDS SQUIGGLE ARROW
