# Supplemental Mathematical Operators 2A00 - 2AFF
2A00	narycircleddotoperator	N-ARY CIRCLED DOT OPERATOR
2A01	narycircledplusoperator	N-ARY CIRCLED PLUS OPERATOR
2A02	narycircledtimesoperator	N-ARY CIRCLED TIMES OPERATOR
2A03	naryunionoperatorwithdot	N-ARY UNION OPERATOR WITH DOT
2A04	naryunionoperatorwithplus	N-ARY UNION OPERATOR WITH PLUS
2A05	narysquareintersectionoperator	N-ARY SQUARE INTERSECTION OPERATOR
2A06	narysquareunionoperator	N-ARY SQUARE UNION OPERATOR
2A07	twologicalandoperator	TWO LOGICAL AND OPERATOR
2A08	twologicaloroperator	TWO LOGICAL OR OPERATOR
2A09	narytimesoperator	N-ARY TIMES OPERATOR
2A0A	modulotwosum	MODULO TWO SUM
2A0B	summationwithintegral	SUMMATION WITH INTEGRAL
2A0C	quadrupleintegraloperator	QUADRUPLE INTEGRAL OPERATOR
2A0D	finitepartintegral	FINITE PART INTEGRAL
2A0E	integralwithdoublestroke	INTEGRAL WITH DOUBLE STROKE
2A0F	integralaveragewithslash	INTEGRAL AVERAGE WITH SLASH
2A10	circulationfunction	CIRCULATION FUNCTION
2A11	anticlockwiseintegration	ANTICLOCKWISE INTEGRATION
2A12	lineintegrationwithrectangularpatharoundpole	LINE INTEGRATION WITH RECTANGULAR PATH AROUND POLE
2A13	lineintegrationwithsemicircularpatharoundpole	LINE INTEGRATION WITH SEMICIRCULAR PATH AROUND POLE
2A14	lineintegrationnotincludingthepole	LINE INTEGRATION NOT INCLUDING THE POLE
2A15	integralaroundapointoperator	INTEGRAL AROUND A POINT OPERATOR
2A16	quaternionintegraloperator	QUATERNION INTEGRAL OPERATOR
2A17	integralwithleftwardsarrowwithhook	INTEGRAL WITH LEFTWARDS ARROW WITH HOOK
2A18	integralwithtimessign	INTEGRAL WITH TIMES SIGN
2A19	integralwithintersection	INTEGRAL WITH INTERSECTION
2A1A	integralwithunion	INTEGRAL WITH UNION
2A1B	integralwithoverbar	INTEGRAL WITH OVERBAR
2A1C	integralwithunderbar	INTEGRAL WITH UNDERBAR
2A1D	join	JOIN
2A1E	largelefttriangleoperator	LARGE LEFT TRIANGLE OPERATOR
2A1F	znotationschemacomposition	Z NOTATION SCHEMA COMPOSITION
2A20	znotationschemapiping	Z NOTATION SCHEMA PIPING
2A21	znotationschemaprojection	Z NOTATION SCHEMA PROJECTION
2A22	plussignwithsmallcircleabove	PLUS SIGN WITH SMALL CIRCLE ABOVE
2A23	plussignwithcircumflexaccentabove	PLUS SIGN WITH CIRCUMFLEX ACCENT ABOVE
2A24	plussignwithtildeabove	PLUS SIGN WITH TILDE ABOVE
2A25	plussignwithdotbelow	PLUS SIGN WITH DOT BELOW
2A26	plussignwithtildebelow	PLUS SIGN WITH TILDE BELOW
2A27	plussignwithsubscripttwo	PLUS SIGN WITH SUBSCRIPT TWO
2A28	plussignwithblacktriangle	PLUS SIGN WITH BLACK TRIANGLE
2A29	minussignwithcommaabove	MINUS SIGN WITH COMMA ABOVE
2A2A	minussignwithdotbelow	MINUS SIGN WITH DOT BELOW
2A2B	minussignwithfallingdots	MINUS SIGN WITH FALLING DOTS
2A2C	minussignwithrisingdots	MINUS SIGN WITH RISING DOTS
2A2D	plussigninlefthalfcircle	PLUS SIGN IN LEFT HALF CIRCLE
2A2E	plussigninrighthalfcircle	PLUS SIGN IN RIGHT HALF CIRCLE
2A2F	vectororcrossproduct	VECTOR OR CROSS PRODUCT
2A30	multiplicationsignwithdotabove	MULTIPLICATION SIGN WITH DOT ABOVE
2A31	multiplicationsignwithunderbar	MULTIPLICATION SIGN WITH UNDERBAR
2A32	semidirectproductwithbottomclosed	SEMIDIRECT PRODUCT WITH BOTTOM CLOSED
2A33	smashproduct	SMASH PRODUCT
2A34	multiplicationsigninlefthalfcircle	MULTIPLICATION SIGN IN LEFT HALF CIRCLE
2A35	multiplicationsigninrighthalfcircle	MULTIPLICATION SIGN IN RIGHT HALF CIRCLE
2A36	circledmultiplicationsignwithcircumflexaccent	CIRCLED MULTIPLICATION SIGN WITH CIRCUMFLEX ACCENT
2A37	multiplicationsignindoublecircle	MULTIPLICATION SIGN IN DOUBLE CIRCLE
2A38	circleddivisionsign	CIRCLED DIVISION SIGN
2A39	plussignintriangle	PLUS SIGN IN TRIANGLE
2A3A	minussignintriangle	MINUS SIGN IN TRIANGLE
2A3B	multiplicationsignintriangle	MULTIPLICATION SIGN IN TRIANGLE
2A3C	interiorproduct	INTERIOR PRODUCT
2A3D	righthandinteriorproduct	RIGHTHAND INTERIOR PRODUCT
2A3E	znotationrelationalcomposition	Z NOTATION RELATIONAL COMPOSITION
2A3F	amalgamationorcoproduct	AMALGAMATION OR COPRODUCT
2A40	intersectionwithdot	INTERSECTION WITH DOT
2A41	unionwithminussign	UNION WITH MINUS SIGN
2A42	unionwithoverbar	UNION WITH OVERBAR
2A43	intersectionwithoverbar	INTERSECTION WITH OVERBAR
2A44	intersectionwithlogicaland	INTERSECTION WITH LOGICAL AND
2A45	unionwithlogicalor	UNION WITH LOGICAL OR
2A46	unionaboveintersection	UNION ABOVE INTERSECTION
2A47	intersectionaboveunion	INTERSECTION ABOVE UNION
2A48	unionabovebaraboveintersection	UNION ABOVE BAR ABOVE INTERSECTION
2A49	intersectionabovebaraboveunion	INTERSECTION ABOVE BAR ABOVE UNION
2A4A	unionbesideandjoinedwithunion	UNION BESIDE AND JOINED WITH UNION
2A4B	intersectionbesideandjoinedwithintersection	INTERSECTION BESIDE AND JOINED WITH INTERSECTION
