# Tai Le 1950 - 197F
1950	taileletterka	TAI LE LETTER KA
1951	taileletterxa	TAI LE LETTER XA
1952	taileletternga	TAI LE LETTER NGA
1953	tailelettertsa	TAI LE LETTER TSA
1954	tailelettersa	TAI LE LETTER SA
1955	taileletterya	TAI LE LETTER YA
1956	taileletterta	TAI LE LETTER TA
1957	tailelettertha	TAI LE LETTER THA
1958	taileletterla	TAI LE LETTER LA
1959	taileletterpa	TAI LE LETTER PA
195A	taileletterpha	TAI LE LETTER PHA
195B	taileletterma	TAI LE LETTER MA
195C	taileletterfa	TAI LE LETTER FA
195D	taileletterva	TAI LE LETTER VA
195E	taileletterha	TAI LE LETTER HA
195F	taileletterqa	TAI LE LETTER QA
1960	taileletterkha	TAI LE LETTER KHA
1961	tailelettertsha	TAI LE LETTER TSHA
1962	taileletterna	TAI LE LETTER NA
1963	tailelettera	TAI LE LETTER A
1964	taileletteri	TAI LE LETTER I
1965	taileletteree	TAI LE LETTER EE
1966	tailelettereh	TAI LE LETTER EH
1967	taileletteru	TAI LE LETTER U
1968	taileletteroo	TAI LE LETTER OO
1969	tailelettero	TAI LE LETTER O
196A	taileletterue	TAI LE LETTER UE
196B	tailelettere	TAI LE LETTER E
196C	taileletteraue	TAI LE LETTER AUE
196D	taileletterai	TAI LE LETTER AI
1970	tailelettertone2	TAI LE LETTER TONE-2
1971	tailelettertone3	TAI LE LETTER TONE-3
1972	tailelettertone4	TAI LE LETTER TONE-4
1973	tailelettertone5	TAI LE LETTER TONE-5
1974	tailelettertone6	TAI LE LETTER TONE-6
