# Ugaritic 10380 - 1039F
10380	ugariticletteralpa	UGARITIC LETTER ALPA
10381	ugariticletterbeta	UGARITIC LETTER BETA
10382	ugariticlettergamla	UGARITIC LETTER GAMLA
10383	ugariticletterkha	UGARITIC LETTER KHA
10384	ugariticletterdelta	UGARITIC LETTER DELTA
10385	ugariticletterho	UGARITIC LETTER HO
10386	ugariticletterwo	UGARITIC LETTER WO
10387	ugariticletterzeta	UGARITIC LETTER ZETA
10388	ugariticletterhota	UGARITIC LETTER HOTA
10389	ugariticlettertet	UGARITIC LETTER TET
1038A	ugariticletteryod	UGARITIC LETTER YOD
1038B	ugariticletterkaf	UGARITIC LETTER KAF
1038C	ugariticlettershin	UGARITIC LETTER SHIN
1038D	ugariticletterlamda	UGARITIC LETTER LAMDA
1038E	ugariticlettermem	UGARITIC LETTER MEM
1038F	ugariticletterdhal	UGARITIC LETTER DHAL
10390	ugariticletternun	UGARITIC LETTER NUN
10391	ugariticletterzu	UGARITIC LETTER ZU
10392	ugariticlettersamka	UGARITIC LETTER SAMKA
10393	ugariticletterain	UGARITIC LETTER AIN
10394	ugariticletterpu	UGARITIC LETTER PU
10395	ugariticlettersade	UGARITIC LETTER SADE
10396	ugariticletterqopa	UGARITIC LETTER QOPA
10397	ugariticletterrasha	UGARITIC LETTER RASHA
10398	ugariticletterthanna	UGARITIC LETTER THANNA
10399	ugariticletterghain	UGARITIC LETTER GHAIN
1039A	ugariticletterto	UGARITIC LETTER TO
1039B	ugariticletteri	UGARITIC LETTER I
1039C	ugariticletteru	UGARITIC LETTER U
1039D	ugariticletterssu	UGARITIC LETTER SSU
1039F	ugariticworddivider	UGARITIC WORD DIVIDER
