# Unified Canadian Aboriginal Syllabics 1400 - 167F
1400	canadiansyllabicshyphen	CANADIAN SYLLABICS HYPHEN
1401	canadiansyllabicse	CANADIAN SYLLABICS E
1402	canadiansyllabicsaai	CANADIAN SYLLABICS AAI
1403	canadiansyllabicsi	CANADIAN SYLLABICS I
1404	canadiansyllabicsii	CANADIAN SYLLABICS II
1405	canadiansyllabicso	CANADIAN SYLLABICS O
1406	canadiansyllabicsoo	CANADIAN SYLLABICS OO
1407	canadiansyllabicsycreeoo	CANADIAN SYLLABICS Y-CREE OO
1408	canadiansyllabicscarrieree	CANADIAN SYLLABICS CARRIER EE
1409	canadiansyllabicscarrieri	CANADIAN SYLLABICS CARRIER I
140A	canadiansyllabicsa	CANADIAN SYLLABICS A
140B	canadiansyllabicsaa	CANADIAN SYLLABICS AA
140C	canadiansyllabicswe	CANADIAN SYLLABICS WE
140D	canadiansyllabicswestcreewe	CANADIAN SYLLABICS WEST-CREE WE
140E	canadiansyllabicswi	CANADIAN SYLLABICS WI
140F	canadiansyllabicswestcreewi	CANADIAN SYLLABICS WEST-CREE WI
1410	canadiansyllabicswii	CANADIAN SYLLABICS WII
1411	canadiansyllabicswestcreewii	CANADIAN SYLLABICS WEST-CREE WII
1412	canadiansyllabicswo	CANADIAN SYLLABICS WO
1413	canadiansyllabicswestcreewo	CANADIAN SYLLABICS WEST-CREE WO
1414	canadiansyllabicswoo	CANADIAN SYLLABICS WOO
1415	canadiansyllabicswestcreewoo	CANADIAN SYLLABICS WEST-CREE WOO
1416	canadiansyllabicsnaskapiwoo	CANADIAN SYLLABICS NASKAPI WOO
1417	canadiansyllabicswa	CANADIAN SYLLABICS WA
1418	canadiansyllabicswestcreewa	CANADIAN SYLLABICS WEST-CREE WA
1419	canadiansyllabicswaa	CANADIAN SYLLABICS WAA
141A	canadiansyllabicswestcreewaa	CANADIAN SYLLABICS WEST-CREE WAA
141B	canadiansyllabicsnaskapiwaa	CANADIAN SYLLABICS NASKAPI WAA
141C	canadiansyllabicsai	CANADIAN SYLLABICS AI
141D	canadiansyllabicsycreew	CANADIAN SYLLABICS Y-CREE W
141E	canadiansyllabicsglottalstop	CANADIAN SYLLABICS GLOTTAL STOP
141F	canadiansyllabicsfinalacute	CANADIAN SYLLABICS FINAL ACUTE
1420	canadiansyllabicsfinalgrave	CANADIAN SYLLABICS FINAL GRAVE
1421	canadiansyllabicsfinalbottomhalfring	CANADIAN SYLLABICS FINAL BOTTOM HALF RING
1422	canadiansyllabicsfinaltophalfring	CANADIAN SYLLABICS FINAL TOP HALF RING
1423	canadiansyllabicsfinalrighthalfring	CANADIAN SYLLABICS FINAL RIGHT HALF RING
1424	canadiansyllabicsfinalring	CANADIAN SYLLABICS FINAL RING
1425	canadiansyllabicsfinaldoubleacute	CANADIAN SYLLABICS FINAL DOUBLE ACUTE
1426	canadiansyllabicsfinaldoubleshortverticalstrokes	CANADIAN SYLLABICS FINAL DOUBLE SHORT VERTICAL STROKES
1427	canadiansyllabicsfinalmiddledot	CANADIAN SYLLABICS FINAL MIDDLE DOT
1428	canadiansyllabicsfinalshorthorizontalstroke	CANADIAN SYLLABICS FINAL SHORT HORIZONTAL STROKE
1429	canadiansyllabicsfinalplus	CANADIAN SYLLABICS FINAL PLUS
142A	canadiansyllabicsfinaldowntack	CANADIAN SYLLABICS FINAL DOWN TACK
142B	canadiansyllabicsen	CANADIAN SYLLABICS EN
142C	canadiansyllabicsin	CANADIAN SYLLABICS IN
142D	canadiansyllabicson	CANADIAN SYLLABICS ON
142E	canadiansyllabicsan	CANADIAN SYLLABICS AN
142F	canadiansyllabicspe	CANADIAN SYLLABICS PE
1430	canadiansyllabicspaai	CANADIAN SYLLABICS PAAI
1431	canadiansyllabicspi	CANADIAN SYLLABICS PI
1432	canadiansyllabicspii	CANADIAN SYLLABICS PII
1433	canadiansyllabicspo	CANADIAN SYLLABICS PO
1434	canadiansyllabicspoo	CANADIAN SYLLABICS POO
1435	canadiansyllabicsycreepoo	CANADIAN SYLLABICS Y-CREE POO
1436	canadiansyllabicscarrierhee	CANADIAN SYLLABICS CARRIER HEE
1437	canadiansyllabicscarrierhi	CANADIAN SYLLABICS CARRIER HI
1438	canadiansyllabicspa	CANADIAN SYLLABICS PA
1439	canadiansyllabicspaa	CANADIAN SYLLABICS PAA
143A	canadiansyllabicspwe	CANADIAN SYLLABICS PWE
143B	canadiansyllabicswestcreepwe	CANADIAN SYLLABICS WEST-CREE PWE
143C	canadiansyllabicspwi	CANADIAN SYLLABICS PWI
143D	canadiansyllabicswestcreepwi	CANADIAN SYLLABICS WEST-CREE PWI
143E	canadiansyllabicspwii	CANADIAN SYLLABICS PWII
143F	canadiansyllabicswestcreepwii	CANADIAN SYLLABICS WEST-CREE PWII
1440	canadiansyllabicspwo	CANADIAN SYLLABICS PWO
1441	canadiansyllabicswestcreepwo	CANADIAN SYLLABICS WEST-CREE PWO
1442	canadiansyllabicspwoo	CANADIAN SYLLABICS PWOO
1443	canadiansyllabicswestcreepwoo	CANADIAN SYLLABICS WEST-CREE PWOO
1444	canadiansyllabicspwa	CANADIAN SYLLABICS PWA
1445	canadiansyllabicswestcreepwa	CANADIAN SYLLABICS WEST-CREE PWA
1446	canadiansyllabicspwaa	CANADIAN SYLLABICS PWAA
1447	canadiansyllabicswestcreepwaa	CANADIAN SYLLABICS WEST-CREE PWAA
1448	canadiansyllabicsycreepwaa	CANADIAN SYLLABICS Y-CREE PWAA
1449	canadiansyllabicsp	CANADIAN SYLLABICS P
144A	canadiansyllabicswestcreep	CANADIAN SYLLABICS WEST-CREE P
144B	canadiansyllabicscarrierh	CANADIAN SYLLABICS CARRIER H
144C	canadiansyllabicste	CANADIAN SYLLABICS TE
144D	canadiansyllabicstaai	CANADIAN SYLLABICS TAAI
144E	canadiansyllabicsti	CANADIAN SYLLABICS TI
144F	canadiansyllabicstii	CANADIAN SYLLABICS TII
1450	canadiansyllabicsto	CANADIAN SYLLABICS TO
1451	canadiansyllabicstoo	CANADIAN SYLLABICS TOO
1452	canadiansyllabicsycreetoo	CANADIAN SYLLABICS Y-CREE TOO
1453	canadiansyllabicscarrierdee	CANADIAN SYLLABICS CARRIER DEE
1454	canadiansyllabicscarrierdi	CANADIAN SYLLABICS CARRIER DI
1455	canadiansyllabicsta	CANADIAN SYLLABICS TA
1456	canadiansyllabicstaa	CANADIAN SYLLABICS TAA
1457	canadiansyllabicstwe	CANADIAN SYLLABICS TWE
1458	canadiansyllabicswestcreetwe	CANADIAN SYLLABICS WEST-CREE TWE
1459	canadiansyllabicstwi	CANADIAN SYLLABICS TWI
145A	canadiansyllabicswestcreetwi	CANADIAN SYLLABICS WEST-CREE TWI
145B	canadiansyllabicstwii	CANADIAN SYLLABICS TWII
145C	canadiansyllabicswestcreetwii	CANADIAN SYLLABICS WEST-CREE TWII
145D	canadiansyllabicstwo	CANADIAN SYLLABICS TWO
145E	canadiansyllabicswestcreetwo	CANADIAN SYLLABICS WEST-CREE TWO
145F	canadiansyllabicstwoo	CANADIAN SYLLABICS TWOO
1460	canadiansyllabicswestcreetwoo	CANADIAN SYLLABICS WEST-CREE TWOO
1461	canadiansyllabicstwa	CANADIAN SYLLABICS TWA
1462	canadiansyllabicswestcreetwa	CANADIAN SYLLABICS WEST-CREE TWA
1463	canadiansyllabicstwaa	CANADIAN SYLLABICS TWAA
1464	canadiansyllabicswestcreetwaa	CANADIAN SYLLABICS WEST-CREE TWAA
1465	canadiansyllabicsnaskapitwaa	CANADIAN SYLLABICS NASKAPI TWAA
1466	canadiansyllabicst	CANADIAN SYLLABICS T
1467	canadiansyllabicstte	CANADIAN SYLLABICS TTE
1468	canadiansyllabicstti	CANADIAN SYLLABICS TTI
1469	canadiansyllabicstto	CANADIAN SYLLABICS TTO
146A	canadiansyllabicstta	CANADIAN SYLLABICS TTA
146B	canadiansyllabicske	CANADIAN SYLLABICS KE
146C	canadiansyllabicskaai	CANADIAN SYLLABICS KAAI
146D	canadiansyllabicski	CANADIAN SYLLABICS KI
146E	canadiansyllabicskii	CANADIAN SYLLABICS KII
146F	canadiansyllabicsko	CANADIAN SYLLABICS KO
1470	canadiansyllabicskoo	CANADIAN SYLLABICS KOO
1471	canadiansyllabicsycreekoo	CANADIAN SYLLABICS Y-CREE KOO
1472	canadiansyllabicska	CANADIAN SYLLABICS KA
1473	canadiansyllabicskaa	CANADIAN SYLLABICS KAA
1474	canadiansyllabicskwe	CANADIAN SYLLABICS KWE
1475	canadiansyllabicswestcreekwe	CANADIAN SYLLABICS WEST-CREE KWE
1476	canadiansyllabicskwi	CANADIAN SYLLABICS KWI
1477	canadiansyllabicswestcreekwi	CANADIAN SYLLABICS WEST-CREE KWI
1478	canadiansyllabicskwii	CANADIAN SYLLABICS KWII
