# Vai A500 - A63F
A500	vaisyllableee	VAI SYLLABLE EE
A501	vaisyllableeen	VAI SYLLABLE EEN
A502	vaisyllablehee	VAI SYLLABLE HEE
A503	vaisyllablewee	VAI SYLLABLE WEE
A504	vaisyllableween	VAI SYLLABLE WEEN
A505	vaisyllablepee	VAI SYLLABLE PEE
A506	vaisyllablebhee	VAI SYLLABLE BHEE
A507	vaisyllablebee	VAI SYLLABLE BEE
A508	vaisyllablembee	VAI SYLLABLE MBEE
A509	vaisyllablekpee	VAI SYLLABLE KPEE
A50A	vaisyllablemgbee	VAI SYLLABLE MGBEE
A50B	vaisyllablegbee	VAI SYLLABLE GBEE
A50C	vaisyllablefee	VAI SYLLABLE FEE
A50D	vaisyllablevee	VAI SYLLABLE VEE
A50E	vaisyllabletee	VAI SYLLABLE TEE
A50F	vaisyllablethee	VAI SYLLABLE THEE
A510	vaisyllabledhee	VAI SYLLABLE DHEE
A511	vaisyllabledhhee	VAI SYLLABLE DHHEE
A512	vaisyllablelee	VAI SYLLABLE LEE
A513	vaisyllableree	VAI SYLLABLE REE
A514	vaisyllabledee	VAI SYLLABLE DEE
A515	vaisyllablendee	VAI SYLLABLE NDEE
A516	vaisyllablesee	VAI SYLLABLE SEE
A517	vaisyllableshee	VAI SYLLABLE SHEE
A518	vaisyllablezee	VAI SYLLABLE ZEE
A519	vaisyllablezhee	VAI SYLLABLE ZHEE
A51A	vaisyllablecee	VAI SYLLABLE CEE
A51B	vaisyllablejee	VAI SYLLABLE JEE
A51C	vaisyllablenjee	VAI SYLLABLE NJEE
A51D	vaisyllableyee	VAI SYLLABLE YEE
A51E	vaisyllablekee	VAI SYLLABLE KEE
A51F	vaisyllablenggee	VAI SYLLABLE NGGEE
A520	vaisyllablegee	VAI SYLLABLE GEE
A521	vaisyllablemee	VAI SYLLABLE MEE
A522	vaisyllablenee	VAI SYLLABLE NEE
A523	vaisyllablenyee	VAI SYLLABLE NYEE
A524	vaisyllablei	VAI SYLLABLE I
A525	vaisyllablein	VAI SYLLABLE IN
A526	vaisyllablehi	VAI SYLLABLE HI
A527	vaisyllablehin	VAI SYLLABLE HIN
A528	vaisyllablewi	VAI SYLLABLE WI
A529	vaisyllablewin	VAI SYLLABLE WIN
A52A	vaisyllablepi	VAI SYLLABLE PI
A52B	vaisyllablebhi	VAI SYLLABLE BHI
A52C	vaisyllablebi	VAI SYLLABLE BI
A52D	vaisyllablembi	VAI SYLLABLE MBI
A52E	vaisyllablekpi	VAI SYLLABLE KPI
A52F	vaisyllablemgbi	VAI SYLLABLE MGBI
A530	vaisyllablegbi	VAI SYLLABLE GBI
A531	vaisyllablefi	VAI SYLLABLE FI
A532	vaisyllablevi	VAI SYLLABLE VI
A533	vaisyllableti	VAI SYLLABLE TI
A534	vaisyllablethi	VAI SYLLABLE THI
A535	vaisyllabledhi	VAI SYLLABLE DHI
A536	vaisyllabledhhi	VAI SYLLABLE DHHI
A537	vaisyllableli	VAI SYLLABLE LI
A538	vaisyllableri	VAI SYLLABLE RI
A539	vaisyllabledi	VAI SYLLABLE DI
A53A	vaisyllablendi	VAI SYLLABLE NDI
A53B	vaisyllablesi	VAI SYLLABLE SI
A53C	vaisyllableshi	VAI SYLLABLE SHI
A53D	vaisyllablezi	VAI SYLLABLE ZI
A53E	vaisyllablezhi	VAI SYLLABLE ZHI
A53F	vaisyllableci	VAI SYLLABLE CI
A540	vaisyllableji	VAI SYLLABLE JI
A541	vaisyllablenji	VAI SYLLABLE NJI
A542	vaisyllableyi	VAI SYLLABLE YI
A543	vaisyllableki	VAI SYLLABLE KI
A544	vaisyllablenggi	VAI SYLLABLE NGGI
A545	vaisyllablegi	VAI SYLLABLE GI
A546	vaisyllablemi	VAI SYLLABLE MI
A547	vaisyllableni	VAI SYLLABLE NI
A548	vaisyllablenyi	VAI SYLLABLE NYI
A549	vaisyllablea	VAI SYLLABLE A
A54A	vaisyllablean	VAI SYLLABLE AN
A54B	vaisyllablengan	VAI SYLLABLE NGAN
A54C	vaisyllableha	VAI SYLLABLE HA
A54D	vaisyllablehan	VAI SYLLABLE HAN
A54E	vaisyllablewa	VAI SYLLABLE WA
A54F	vaisyllablewan	VAI SYLLABLE WAN
A550	vaisyllablepa	VAI SYLLABLE PA
A551	vaisyllablebha	VAI SYLLABLE BHA
A552	vaisyllableba	VAI SYLLABLE BA
A553	vaisyllablemba	VAI SYLLABLE MBA
A554	vaisyllablekpa	VAI SYLLABLE KPA
A555	vaisyllablekpan	VAI SYLLABLE KPAN
A556	vaisyllablemgba	VAI SYLLABLE MGBA
A557	vaisyllablegba	VAI SYLLABLE GBA
A558	vaisyllablefa	VAI SYLLABLE FA
A559	vaisyllableva	VAI SYLLABLE VA
A55A	vaisyllableta	VAI SYLLABLE TA
A55B	vaisyllabletha	VAI SYLLABLE THA
A55C	vaisyllabledha	VAI SYLLABLE DHA
A55D	vaisyllabledhha	VAI SYLLABLE DHHA
A55E	vaisyllablela	VAI SYLLABLE LA
A55F	vaisyllablera	VAI SYLLABLE RA
A560	vaisyllableda	VAI SYLLABLE DA
A561	vaisyllablenda	VAI SYLLABLE NDA
A562	vaisyllablesa	VAI SYLLABLE SA
A563	vaisyllablesha	VAI SYLLABLE SHA
A564	vaisyllableza	VAI SYLLABLE ZA
A565	vaisyllablezha	VAI SYLLABLE ZHA
A566	vaisyllableca	VAI SYLLABLE CA
A567	vaisyllableja	VAI SYLLABLE JA
A568	vaisyllablenja	VAI SYLLABLE NJA
A569	vaisyllableya	VAI SYLLABLE YA
A56A	vaisyllableka	VAI SYLLABLE KA
A56B	vaisyllablekan	VAI SYLLABLE KAN
A56C	vaisyllablengga	VAI SYLLABLE NGGA
A56D	vaisyllablega	VAI SYLLABLE GA
A56E	vaisyllablema	VAI SYLLABLE MA
A56F	vaisyllablena	VAI SYLLABLE NA
A570	vaisyllablenya	VAI SYLLABLE NYA
A571	vaisyllableoo	VAI SYLLABLE OO
A572	vaisyllableoon	VAI SYLLABLE OON
A573	vaisyllablehoo	VAI SYLLABLE HOO
A574	vaisyllablewoo	VAI SYLLABLE WOO
A575	vaisyllablewoon	VAI SYLLABLE WOON
A576	vaisyllablepoo	VAI SYLLABLE POO
A577	vaisyllablebhoo	VAI SYLLABLE BHOO
A578	vaisyllableboo	VAI SYLLABLE BOO
A579	vaisyllablemboo	VAI SYLLABLE MBOO
A57A	vaisyllablekpoo	VAI SYLLABLE KPOO
A57B	vaisyllablemgboo	VAI SYLLABLE MGBOO
A57C	vaisyllablegboo	VAI SYLLABLE GBOO
A57D	vaisyllablefoo	VAI SYLLABLE FOO
