# Variation Selectors Supplement E0100 - E01EF
E0100	variationselector17	VARIATION SELECTOR-17
E0101	variationselector18	VARIATION SELECTOR-18
E0102	variationselector19	VARIATION SELECTOR-19
E0103	variationselector20	VARIATION SELECTOR-20
E0104	variationselector21	VARIATION SELECTOR-21
E0105	variationselector22	VARIATION SELECTOR-22
E0106	variationselector23	VARIATION SELECTOR-23
E0107	variationselector24	VARIATION SELECTOR-24
E0108	variationselector25	VARIATION SELECTOR-25
E0109	variationselector26	VARIATION SELECTOR-26
E010A	variationselector27	VARIATION SELECTOR-27
E010B	variationselector28	VARIATION SELECTOR-28
E010C	variationselector29	VARIATION SELECTOR-29
E010D	variationselector30	VARIATION SELECTOR-30
E010E	variationselector31	VARIATION SELECTOR-31
E010F	variationselector32	VARIATION SELECTOR-32
E0110	variationselector33	VARIATION SELECTOR-33
E0111	variationselector34	VARIATION SELECTOR-34
E0112	variationselector35	VARIATION SELECTOR-35
E0113	variationselector36	VARIATION SELECTOR-36
E0114	variationselector37	VARIATION SELECTOR-37
E0115	variationselector38	VARIATION SELECTOR-38
E0116	variationselector39	VARIATION SELECTOR-39
E0117	variationselector40	VARIATION SELECTOR-40
E0118	variationselector41	VARIATION SELECTOR-41
E0119	variationselector42	VARIATION SELECTOR-42
E011A	variationselector43	VARIATION SELECTOR-43
E011B	variationselector44	VARIATION SELECTOR-44
E011C	variationselector45	VARIATION SELECTOR-45
E011D	variationselector46	VARIATION SELECTOR-46
E011E	variationselector47	VARIATION SELECTOR-47
E011F	variationselector48	VARIATION SELECTOR-48
E0120	variationselector49	VARIATION SELECTOR-49
E0121	variationselector50	VARIATION SELECTOR-50
E0122	variationselector51	VARIATION SELECTOR-51
E0123	variationselector52	VARIATION SELECTOR-52
E0124	variationselector53	VARIATION SELECTOR-53
E0125	variationselector54	VARIATION SELECTOR-54
E0126	variationselector55	VARIATION SELECTOR-55
E0127	variationselector56	VARIATION SELECTOR-56
E0128	variationselector57	VARIATION SELECTOR-57
E0129	variationselector58	VARIATION SELECTOR-58
E012A	variationselector59	VARIATION SELECTOR-59
E012B	variationselector60	VARIATION SELECTOR-60
E012C	variationselector61	VARIATION SELECTOR-61
E012D	variationselector62	VARIATION SELECTOR-62
E012E	variationselector63	VARIATION SELECTOR-63
E012F	variationselector64	VARIATION SELECTOR-64
E0130	variationselector65	VARIATION SELECTOR-65
E0131	variationselector66	VARIATION SELECTOR-66
E0132	variationselector67	VARIATION SELECTOR-67
E0133	variationselector68	VARIATION SELECTOR-68
E0134	variationselector69	VARIATION SELECTOR-69
E0135	variationselector70	VARIATION SELECTOR-70
E0136	variationselector71	VARIATION SELECTOR-71
E0137	variationselector72	VARIATION SELECTOR-72
E0138	variationselector73	VARIATION SELECTOR-73
E0139	variationselector74	VARIATION SELECTOR-74
E013A	variationselector75	VARIATION SELECTOR-75
E013B	variationselector76	VARIATION SELECTOR-76
E013C	variationselector77	VARIATION SELECTOR-77
E013D	variationselector78	VARIATION SELECTOR-78
E013E	variationselector79	VARIATION SELECTOR-79
E013F	variationselector80	VARIATION SELECTOR-80
E0140	variationselector81	VARIATION SELECTOR-81
E0141	variationselector82	VARIATION SELECTOR-82
E0142	variationselector83	VARIATION SELECTOR-83
E0143	variationselector84	VARIATION SELECTOR-84
E0144	variationselector85	VARIATION SELECTOR-85
E0145	variationselector86	VARIATION SELECTOR-86
E0146	variationselector87	VARIATION SELECTOR-87
E0147	variationselector88	VARIATION SELECTOR-88
E0148	variationselector89	VARIATION SELECTOR-89
E0149	variationselector90	VARIATION SELECTOR-90
E014A	variationselector91	VARIATION SELECTOR-91
E014B	variationselector92	VARIATION SELECTOR-92
E014C	variationselector93	VARIATION SELECTOR-93
E014D	variationselector94	VARIATION SELECTOR-94
E014E	variationselector95	VARIATION SELECTOR-95
E014F	variationselector96	VARIATION SELECTOR-96
E0150	variationselector97	VARIATION SELECTOR-97
E0151	variationselector98	VARIATION SELECTOR-98
E0152	variationselector99	VARIATION SELECTOR-99
E0153	variationselector100	VARIATION SELECTOR-100
E0154	variationselector101	VARIATION SELECTOR-101
E0155	variationselector102	VARIATION SELECTOR-102
E0156	variationselector103	VARIATION SELECTOR-103
E0157	variationselector104	VARIATION SELECTOR-104
E0158	variationselector105	VARIATION SELECTOR-105
E0159	variationselector106	VARIATION SELECTOR-106
E015A	variationselector107	VARIATION SELECTOR-107
E015B	variationselector108	VARIATION SELECTOR-108
E015C	variationselector109	VARIATION SELECTOR-109
E015D	variationselector110	VARIATION SELECTOR-110
E015E	variationselector111	VARIATION SELECTOR-111
E015F	variationselector112	VARIATION SELECTOR-112
E0160	variationselector113	VARIATION SELECTOR-113
E0161	variationselector114	VARIATION SELECTOR-114
E0162	variationselector115	VARIATION SELECTOR-115
E0163	variationselector116	VARIATION SELECTOR-116
E0164	variationselector117	VARIATION SELECTOR-117
E0165	variationselector118	VARIATION SELECTOR-118
E0166	variationselector119	VARIATION SELECTOR-119
E0167	variationselector120	VARIATION SELECTOR-120
E0168	variationselector121	VARIATION SELECTOR-121
E0169	variationselector122	VARIATION SELECTOR-122
E016A	variationselector123	VARIATION SELECTOR-123
E016B	variationselector124	VARIATION SELECTOR-124
E016C	variationselector125	VARIATION SELECTOR-125
E016D	variationselector126	VARIATION SELECTOR-126
E016E	variationselector127	VARIATION SELECTOR-127
E016F	variationselector128	VARIATION SELECTOR-128
E0170	variationselector129	VARIATION SELECTOR-129
E0171	variationselector130	VARIATION SELECTOR-130
E0172	variationselector131	VARIATION SELECTOR-131
E0173	variationselector132	VARIATION SELECTOR-132
E0174	variationselector133	VARIATION SELECTOR-133
E0175	variationselector134	VARIATION SELECTOR-134
E0176	variationselector135	VARIATION SELECTOR-135
E0177	variationselector136	VARIATION SELECTOR-136
E0178	variationselector137	VARIATION SELECTOR-137
E0179	variationselector138	VARIATION SELECTOR-138
E017A	variationselector139	VARIATION SELECTOR-139
E017B	variationselector140	VARIATION SELECTOR-140
E017C	variationselector141	VARIATION SELECTOR-141
E017D	variationselector142	VARIATION SELECTOR-142
E017E	variationselector143	VARIATION SELECTOR-143
E017F	variationselector144	VARIATION SELECTOR-144
E0180	variationselector145	VARIATION SELECTOR-145
E0181	variationselector146	VARIATION SELECTOR-146
E0182	variationselector147	VARIATION SELECTOR-147
E0183	variationselector148	VARIATION SELECTOR-148
E0184	variationselector149	VARIATION SELECTOR-149
E0185	variationselector150	VARIATION SELECTOR-150
E0186	variationselector151	VARIATION SELECTOR-151
E0187	variationselector152	VARIATION SELECTOR-152
E0188	variationselector153	VARIATION SELECTOR-153
E0189	variationselector154	VARIATION SELECTOR-154
E018A	variationselector155	VARIATION SELECTOR-155
E018B	variationselector156	VARIATION SELECTOR-156
E018C	variationselector157	VARIATION SELECTOR-157
E018D	variationselector158	VARIATION SELECTOR-158
E018E	variationselector159	VARIATION SELECTOR-159
E018F	variationselector160	VARIATION SELECTOR-160
E0190	variationselector161	VARIATION SELECTOR-161
E0191	variationselector162	VARIATION SELECTOR-162
E0192	variationselector163	VARIATION SELECTOR-163
E0193	variationselector164	VARIATION SELECTOR-164
E0194	variationselector165	VARIATION SELECTOR-165
E0195	variationselector166	VARIATION SELECTOR-166
E0196	variationselector167	VARIATION SELECTOR-167
E0197	variationselector168	VARIATION SELECTOR-168
E0198	variationselector169	VARIATION SELECTOR-169
E0199	variationselector170	VARIATION SELECTOR-170
E019A	variationselector171	VARIATION SELECTOR-171
E019B	variationselector172	VARIATION SELECTOR-172
E019C	variationselector173	VARIATION SELECTOR-173
E019D	variationselector174	VARIATION SELECTOR-174
E019E	variationselector175	VARIATION SELECTOR-175
E019F	variationselector176	VARIATION SELECTOR-176
E01A0	variationselector177	VARIATION SELECTOR-177
E01A1	variationselector178	VARIATION SELECTOR-178
E01A2	variationselector179	VARIATION SELECTOR-179
E01A3	variationselector180	VARIATION SELECTOR-180
E01A4	variationselector181	VARIATION SELECTOR-181
E01A5	variationselector182	VARIATION SELECTOR-182
E01A6	variationselector183	VARIATION SELECTOR-183
E01A7	variationselector184	VARIATION SELECTOR-184
E01A8	variationselector185	VARIATION SELECTOR-185
E01A9	variationselector186	VARIATION SELECTOR-186
E01AA	variationselector187	VARIATION SELECTOR-187
E01AB	variationselector188	VARIATION SELECTOR-188
E01AC	variationselector189	VARIATION SELECTOR-189
E01AD	variationselector190	VARIATION SELECTOR-190
E01AE	variationselector191	VARIATION SELECTOR-191
