# Yi Radicals A490 - A4CF
A490	yiradicalqot	YI RADICAL QOT
A491	yiradicalli	YI RADICAL LI
A492	yiradicalkit	YI RADICAL KIT
A493	yiradicalnyip	YI RADICAL NYIP
A494	yiradicalcyp	YI RADICAL CYP
A495	yiradicalssi	YI RADICAL SSI
A496	yiradicalggop	YI RADICAL GGOP
A497	yiradicalgep	YI RADICAL GEP
A498	yiradicalmi	YI RADICAL MI
A499	yiradicalhxit	YI RADICAL HXIT
A49A	yiradicallyr	YI RADICAL LYR
A49B	yiradicalbbut	YI RADICAL BBUT
A49C	yiradicalmop	YI RADICAL MOP
A49D	yiradicalyo	YI RADICAL YO
A49E	yiradicalput	YI RADICAL PUT
A49F	yiradicalhxuo	YI RADICAL HXUO
A4A0	yiradicaltat	YI RADICAL TAT
A4A1	yiradicalga	YI RADICAL GA
A4A2	yiradicalzup	YI RADICAL ZUP
A4A3	yiradicalcyt	YI RADICAL CYT
A4A4	yiradicalddur	YI RADICAL DDUR
A4A5	yiradicalbur	YI RADICAL BUR
A4A6	yiradicalgguo	YI RADICAL GGUO
A4A7	yiradicalnyop	YI RADICAL NYOP
A4A8	yiradicaltu	YI RADICAL TU
A4A9	yiradicalop	YI RADICAL OP
A4AA	yiradicaljjut	YI RADICAL JJUT
A4AB	yiradicalzot	YI RADICAL ZOT
A4AC	yiradicalpyt	YI RADICAL PYT
A4AD	yiradicalhmo	YI RADICAL HMO
A4AE	yiradicalyit	YI RADICAL YIT
A4AF	yiradicalvur	YI RADICAL VUR
A4B0	yiradicalshy	YI RADICAL SHY
A4B1	yiradicalvep	YI RADICAL VEP
A4B2	yiradicalza	YI RADICAL ZA
A4B3	yiradicaljo	YI RADICAL JO
A4B4	yiradicalnzup	YI RADICAL NZUP
A4B5	yiradicaljjy	YI RADICAL JJY
A4B6	yiradicalgot	YI RADICAL GOT
A4B7	yiradicaljjie	YI RADICAL JJIE
A4B8	yiradicalwo	YI RADICAL WO
A4B9	yiradicaldu	YI RADICAL DU
A4BA	yiradicalshur	YI RADICAL SHUR
A4BB	yiradicallie	YI RADICAL LIE
A4BC	yiradicalcy	YI RADICAL CY
A4BD	yiradicalcuop	YI RADICAL CUOP
A4BE	yiradicalcip	YI RADICAL CIP
A4BF	yiradicalhxop	YI RADICAL HXOP
A4C0	yiradicalshat	YI RADICAL SHAT
A4C1	yiradicalzur	YI RADICAL ZUR
A4C2	yiradicalshop	YI RADICAL SHOP
A4C3	yiradicalche	YI RADICAL CHE
A4C4	yiradicalzziet	YI RADICAL ZZIET
A4C5	yiradicalnbie	YI RADICAL NBIE
A4C6	yiradicalke	YI RADICAL KE
