# Yi Syllables A000 - A48F
A000	yisyllableit	YI SYLLABLE IT
A001	yisyllableix	YI SYLLABLE IX
A002	yisyllablei	YI SYLLABLE I
A003	yisyllableip	YI SYLLABLE IP
A004	yisyllableiet	YI SYLLABLE IET
A005	yisyllableiex	YI SYLLABLE IEX
A006	yisyllableie	YI SYLLABLE IE
A007	yisyllableiep	YI SYLLABLE IEP
A008	yisyllableat	YI SYLLABLE AT
A009	yisyllableax	YI SYLLABLE AX
A00A	yisyllablea	YI SYLLABLE A
A00B	yisyllableap	YI SYLLABLE AP
A00C	yisyllableuox	YI SYLLABLE UOX
A00D	yisyllableuo	YI SYLLABLE UO
A00E	yisyllableuop	YI SYLLABLE UOP
A00F	yisyllableot	YI SYLLABLE OT
A010	yisyllableox	YI SYLLABLE OX
A011	yisyllableo	YI SYLLABLE O
A012	yisyllableop	YI SYLLABLE OP
A013	yisyllableex	YI SYLLABLE EX
A014	yisyllablee	YI SYLLABLE E
A015	yisyllablewu	YI SYLLABLE WU
A016	yisyllablebit	YI SYLLABLE BIT
A017	yisyllablebix	YI SYLLABLE BIX
A018	yisyllablebi	YI SYLLABLE BI
A019	yisyllablebip	YI SYLLABLE BIP
A01A	yisyllablebiet	YI SYLLABLE BIET
A01B	yisyllablebiex	YI SYLLABLE BIEX
A01C	yisyllablebie	YI SYLLABLE BIE
A01D	yisyllablebiep	YI SYLLABLE BIEP
A01E	yisyllablebat	YI SYLLABLE BAT
A01F	yisyllablebax	YI SYLLABLE BAX
A020	yisyllableba	YI SYLLABLE BA
A021	yisyllablebap	YI SYLLABLE BAP
A022	yisyllablebuox	YI SYLLABLE BUOX
A023	yisyllablebuo	YI SYLLABLE BUO
A024	yisyllablebuop	YI SYLLABLE BUOP
A025	yisyllablebot	YI SYLLABLE BOT
A026	yisyllablebox	YI SYLLABLE BOX
A027	yisyllablebo	YI SYLLABLE BO
A028	yisyllablebop	YI SYLLABLE BOP
A029	yisyllablebex	YI SYLLABLE BEX
A02A	yisyllablebe	YI SYLLABLE BE
A02B	yisyllablebep	YI SYLLABLE BEP
A02C	yisyllablebut	YI SYLLABLE BUT
A02D	yisyllablebux	YI SYLLABLE BUX
A02E	yisyllablebu	YI SYLLABLE BU
A02F	yisyllablebup	YI SYLLABLE BUP
A030	yisyllableburx	YI SYLLABLE BURX
A031	yisyllablebur	YI SYLLABLE BUR
A032	yisyllablebyt	YI SYLLABLE BYT
A033	yisyllablebyx	YI SYLLABLE BYX
A034	yisyllableby	YI SYLLABLE BY
A035	yisyllablebyp	YI SYLLABLE BYP
A036	yisyllablebyrx	YI SYLLABLE BYRX
A037	yisyllablebyr	YI SYLLABLE BYR
A038	yisyllablepit	YI SYLLABLE PIT
A039	yisyllablepix	YI SYLLABLE PIX
A03A	yisyllablepi	YI SYLLABLE PI
A03B	yisyllablepip	YI SYLLABLE PIP
A03C	yisyllablepiex	YI SYLLABLE PIEX
A03D	yisyllablepie	YI SYLLABLE PIE
A03E	yisyllablepiep	YI SYLLABLE PIEP
A03F	yisyllablepat	YI SYLLABLE PAT
A040	yisyllablepax	YI SYLLABLE PAX
A041	yisyllablepa	YI SYLLABLE PA
A042	yisyllablepap	YI SYLLABLE PAP
A043	yisyllablepuox	YI SYLLABLE PUOX
A044	yisyllablepuo	YI SYLLABLE PUO
A045	yisyllablepuop	YI SYLLABLE PUOP
A046	yisyllablepot	YI SYLLABLE POT
A047	yisyllablepox	YI SYLLABLE POX
A048	yisyllablepo	YI SYLLABLE PO
A049	yisyllablepop	YI SYLLABLE POP
A04A	yisyllableput	YI SYLLABLE PUT
A04B	yisyllablepux	YI SYLLABLE PUX
A04C	yisyllablepu	YI SYLLABLE PU
A04D	yisyllablepup	YI SYLLABLE PUP
A04E	yisyllablepurx	YI SYLLABLE PURX
A04F	yisyllablepur	YI SYLLABLE PUR
A050	yisyllablepyt	YI SYLLABLE PYT
A051	yisyllablepyx	YI SYLLABLE PYX
A052	yisyllablepy	YI SYLLABLE PY
A053	yisyllablepyp	YI SYLLABLE PYP
A054	yisyllablepyrx	YI SYLLABLE PYRX
A055	yisyllablepyr	YI SYLLABLE PYR
A056	yisyllablebbit	YI SYLLABLE BBIT
A057	yisyllablebbix	YI SYLLABLE BBIX
A058	yisyllablebbi	YI SYLLABLE BBI
A059	yisyllablebbip	YI SYLLABLE BBIP
A05A	yisyllablebbiet	YI SYLLABLE BBIET
A05B	yisyllablebbiex	YI SYLLABLE BBIEX
A05C	yisyllablebbie	YI SYLLABLE BBIE
A05D	yisyllablebbiep	YI SYLLABLE BBIEP
A05E	yisyllablebbat	YI SYLLABLE BBAT
A05F	yisyllablebbax	YI SYLLABLE BBAX
A060	yisyllablebba	YI SYLLABLE BBA
A061	yisyllablebbap	YI SYLLABLE BBAP
A062	yisyllablebbuox	YI SYLLABLE BBUOX
A063	yisyllablebbuo	YI SYLLABLE BBUO
A064	yisyllablebbuop	YI SYLLABLE BBUOP
